count_i, smass, sfr, m_age, l_age, AV 
10110 5.335 -4.056 0.270 -0.167 2.679
10111 5.653 -3.876 0.297 -0.322 1.896
10112 5.635 -3.513 0.219 -0.695 1.935
10113 5.774 -3.651 0.331 -0.187 1.065
10114 5.666 -3.238 0.182 -0.670 0.894
10115 5.436 -3.633 0.235 -0.498 0.094
10116 5.392 -3.806 0.237 -0.392 0.316
10117 5.303 -4.069 0.273 -0.264 3.943
10118 5.401 -3.977 0.213 -0.299 0.080
10119 5.313 -4.102 0.277 -0.230 3.867
1012 5.914 -3.921 0.022 -0.317 0.214
10120 5.843 -2.902 0.112 -0.856 3.100
10121 5.493 -3.492 0.187 -0.353 0.205
10122 5.367 -4.081 0.246 -0.205 2.336
10123 5.211 -4.242 0.303 -0.131 3.982
10124 5.678 -3.781 0.288 -0.265 3.067
10125 5.571 -4.002 0.175 -0.249 0.385
10126 5.200 -4.263 0.283 -0.144 3.998
10127 6.405 -3.939 0.296 0.126 3.835
10128 5.961 -3.869 0.372 0.074 2.863
10129 5.441 -3.857 0.255 -0.434 3.952
1013 5.690 -3.155 0.113 -0.681 2.659
10130 5.634 -3.365 0.216 -0.557 0.355
10131 5.621 -3.354 0.229 -0.541 1.021
10132 5.594 -3.217 0.171 -0.765 1.231
10133 5.733 -3.694 0.251 -0.411 3.707
10134 5.247 -4.153 0.282 -0.173 1.345
10135 5.568 -3.588 0.258 -0.394 0.272
10136 5.582 -3.589 0.204 -0.522 0.636
10137 5.711 -3.406 0.179 -0.520 0.212
10138 5.560 -3.441 0.190 -1.101 2.710
10139 5.583 -3.260 0.172 -0.737 0.131
1014 5.475 -3.973 0.149 -0.304 0.048
10140 5.569 -3.916 0.161 -0.251 0.265
10141 5.727 -3.799 0.131 -0.237 0.293
10142 5.964 -3.782 0.002 -0.357 0.151
10143 6.143 -3.586 0.386 0.070 1.725
10144 6.060 -3.745 0.331 0.006 1.072
10145 5.921 -3.904 -0.065 -0.406 0.166
10146 6.025 -3.824 -0.018 -0.279 0.168
10147 6.068 -3.908 0.007 -0.271 0.120
10148 5.908 -3.891 -0.041 -0.375 0.096
10149 5.646 -3.233 0.201 -0.830 0.263
1015 5.689 -3.933 0.124 -0.283 0.221
10150 5.668 -2.975 0.062 -0.614 0.106
10151 6.127 -3.919 0.133 -0.030 0.964
10152 6.136 -3.519 0.092 -0.169 1.103
10153 6.126 -3.935 0.119 -0.064 1.080
10154 5.988 -3.872 0.050 -0.241 0.184
10155 5.800 -3.533 0.288 -0.552 0.373
10156 5.762 -3.255 0.182 -0.626 1.371
10157 5.420 -3.731 0.245 -0.446 0.043
10158 5.323 -4.107 0.228 -0.224 0.049
10159 5.367 -4.043 0.218 -0.252 0.131
1016 5.816 -3.011 0.079 -0.795 1.994
10160 5.246 -4.119 0.287 -0.211 0.062
10161 5.442 -3.822 0.193 -0.355 0.054
10162 5.405 -3.774 0.213 -0.419 0.055
10163 5.598 -3.667 0.209 -0.639 3.788
10164 5.427 -3.711 0.256 -0.492 0.301
10165 5.431 -3.966 0.281 -0.315 3.783
10166 5.257 -4.197 0.291 -0.154 1.389
10167 5.534 -3.643 0.226 -0.306 2.181
10168 5.199 -4.263 0.287 -0.133 3.999
10169 5.209 -4.252 0.288 -0.139 3.991
1017 5.898 -3.770 0.147 -0.130 0.335
10170 5.353 -3.954 0.263 -0.309 0.598
10171 5.591 -3.589 0.255 -0.416 3.355
10172 5.327 -4.096 0.249 -0.210 0.031
10173 5.511 -4.048 0.163 -0.256 0.041
10174 5.400 -4.111 0.206 -0.228 0.073
10175 5.386 -3.936 0.282 -0.456 3.895
10176 5.390 -4.016 0.261 -0.257 0.096
10177 5.732 -4.028 0.343 -0.034 3.879
10178 5.200 -4.261 0.297 -0.131 3.999
1018 5.407 -3.749 0.210 -0.839 3.932
10180 5.422 -3.666 0.224 -0.455 2.026
10181 5.518 -4.037 0.164 -0.265 0.161
10182 5.204 -4.257 0.302 -0.125 3.995
10183 5.428 -4.031 0.219 -0.257 0.037
10184 5.409 -3.619 0.184 -0.528 0.051
10185 5.304 -4.085 0.291 -0.194 0.448
10186 5.363 -4.082 0.231 -0.241 0.110
10187 5.199 -4.264 0.294 -0.130 3.998
10188 5.460 -3.554 0.219 -0.523 3.875
10189 5.225 -4.226 0.290 -0.147 3.962
1019 5.431 -3.665 0.250 -0.520 0.131
10190 5.476 -3.896 0.276 -0.544 3.813
10191 5.329 -3.859 0.260 -0.295 1.774
10192 5.199 -4.263 0.288 -0.136 3.999
10193 5.236 -4.176 0.282 -0.179 2.429
10194 5.301 -4.074 0.285 -0.200 0.611
10195 5.216 -4.237 0.294 -0.141 0.127
10196 5.450 -3.943 0.178 -0.284 0.105
10197 5.731 -3.742 0.070 -0.585 2.796
10198 5.498 -3.815 0.174 -0.345 1.393
10199 5.634 -3.842 0.243 -0.158 0.447
102 5.275 -4.148 0.292 -0.159 3.609
1020 5.421 -3.895 0.269 -0.288 0.438
10200 5.198 -4.264 0.285 -0.130 3.999
10201 5.597 -3.159 0.155 -0.468 1.537
10202 5.199 -4.263 0.291 -0.129 4.000
10203 5.799 -3.742 0.354 -0.323 3.850
10204 5.198 -4.264 0.289 -0.137 4.002
10205 5.574 -3.461 0.195 -0.486 0.193
10206 5.218 -4.229 0.296 -0.137 0.016
10207 5.431 -3.734 0.223 -0.428 1.171
10208 5.411 -3.637 0.249 -0.495 0.054
10209 5.311 -4.007 0.269 -0.242 1.415
1021 5.526 -3.496 0.191 -0.941 3.839
10210 5.419 -3.880 0.200 -0.363 0.039
10211 5.385 -3.743 0.255 -0.568 0.153
10212 5.558 -3.339 0.191 -0.623 3.835
10213 5.280 -4.200 0.289 -0.134 1.233
10214 5.302 -4.128 0.255 -0.184 0.127
10215 5.277 -3.974 0.282 -0.634 3.981
10216 5.198 -4.263 0.301 -0.130 3.998
10217 5.222 -4.233 0.289 -0.144 1.121
10218 5.683 -3.048 0.093 -0.527 3.075
10219 5.453 -3.680 0.254 -0.613 0.229
1022 5.786 -3.125 0.169 -0.691 2.616
10220 5.471 -3.500 0.220 -0.583 0.030
10221 5.353 -4.049 0.277 -0.215 3.157
10222 5.609 -3.748 0.247 -0.221 0.897
10223 5.632 -3.001 0.100 -0.559 1.009
10224 5.621 -3.154 0.135 -0.599 0.955
10225 5.660 -3.993 0.058 -0.337 0.125
10226 5.737 -3.874 0.218 -0.143 2.831
10227 5.662 -3.886 0.343 -0.099 2.688
10228 5.511 -3.572 0.220 -0.963 3.880
10229 5.488 -3.393 0.181 -0.701 0.071
1023 5.546 -4.063 0.157 -0.252 0.122
10230 5.726 -2.899 0.092 -0.530 0.186
