count_i, smass, sfr, m_age, l_age, AV 
1111 7.802 -3.602 0.306 0.144 0.521
1112 7.700 -3.545 0.228 0.005 0.650
1113 6.253 -2.164 -0.298 -1.722 3.853
1114 6.913 -1.456 -0.338 -1.277 1.744
1115 7.267 -2.659 0.415 -0.189 0.877
1116 7.500 -2.866 0.062 -0.042 2.163
1117 6.719 -1.671 -0.157 -0.913 0.569
1118 6.676 -1.746 -0.270 -0.951 0.697
1119 6.729 -2.746 -0.353 -0.845 0.963
112 5.762 -3.372 0.117 -0.499 0.557
1120 6.971 -1.845 0.283 -0.273 1.312
1121 7.139 -2.432 0.411 0.190 3.436
1122 6.151 -2.671 0.061 -1.224 0.406
1123 6.310 -2.237 -0.253 -1.303 0.404
1124 7.263 -3.318 0.167 0.048 0.259
1125 7.812 -2.264 0.416 0.170 2.108
1126 7.462 -2.182 0.029 -0.278 0.279
1127 7.525 -1.962 -0.130 -0.324 0.228
1128 7.609 -3.401 -0.358 -0.434 0.238
1129 7.359 -1.429 -0.436 -0.973 0.505
113 6.190 -3.453 -0.110 -0.408 0.178
1130 7.517 -1.303 0.315 -0.430 0.305
1131 7.458 -1.605 0.328 -0.513 0.387
1132 7.405 -2.267 0.053 -0.638 1.314
1133 7.720 -3.625 0.045 -0.009 0.345
1134 7.740 -1.772 0.422 -0.064 0.299
1135 7.796 -3.515 -0.071 -0.188 0.234
1136 8.003 -3.412 0.242 0.175 0.258
1137 8.054 -2.859 0.066 0.014 0.456
1138 8.184 -2.892 0.020 -0.038 0.290
1139 8.282 -2.273 0.105 0.003 0.173
114 5.875 -3.072 0.184 -0.943 0.392
1140 8.293 -1.925 -0.006 -0.160 0.125
1141 8.406 -3.688 0.000 -0.013 0.219
1142 8.493 -3.678 0.251 0.088 0.215
1143 8.472 -1.135 0.319 -0.096 0.334
1144 8.427 -2.881 -0.039 -0.138 0.275
1145 8.533 -3.515 0.031 0.016 0.323
1146 8.626 -0.985 0.048 -0.166 0.328
1147 7.129 -1.389 -0.284 -1.673 1.040
1148 8.929 -2.634 0.474 0.451 1.169
1149 8.714 -0.280 -0.134 -0.398 0.562
115 5.761 -3.229 0.179 -1.079 0.326
1150 8.769 -2.788 0.025 -0.023 0.635
1151 8.449 0.021 -0.016 -0.678 1.205
1152 8.154 -0.208 -0.341 -1.139 1.266
1153 8.321 -0.233 0.179 -0.506 0.874
1154 8.474 -3.485 0.244 0.177 0.335
1155 8.389 -3.622 0.342 0.264 0.315
1156 7.962 -1.195 -0.437 -0.825 1.279
1157 8.156 -3.862 0.286 0.088 0.614
1158 8.033 -3.177 0.276 -0.013 0.757
1159 7.904 -2.399 0.016 -0.105 0.579
116 6.028 -2.609 -0.054 -1.118 0.647
1160 7.747 -1.274 0.293 -0.395 0.841
1161 7.475 -0.963 -0.224 -0.861 1.026
1162 7.863 -3.533 0.335 0.237 0.392
1163 7.860 -3.532 0.468 0.435 0.598
1164 7.795 -3.545 0.470 0.429 0.454
1165 7.662 -3.746 0.401 0.281 0.137
1166 7.424 -3.278 -0.067 -0.202 0.830
1167 7.582 -3.290 0.458 0.390 1.003
1168 6.492 -1.921 -0.214 -1.276 0.299
1169 6.982 -2.866 -0.241 -0.684 1.052
117 5.986 -2.965 0.047 -1.135 1.841
1170 7.107 -2.771 0.431 -0.082 1.130
1171 7.156 -3.330 0.069 -0.058 1.992
1172 6.578 -3.194 -0.187 -0.616 0.693
1173 6.090 -2.568 0.038 -1.207 0.476
1174 7.282 -3.478 0.453 0.372 0.432
1175 7.289 -3.064 0.060 -0.086 0.796
1176 6.807 -1.644 -0.429 -1.235 0.814
1177 7.237 -1.673 -0.098 -0.825 0.860
1178 7.618 -3.578 -0.226 -0.342 0.273
1179 7.725 -3.382 -0.472 -0.515 0.183
118 6.051 -2.861 0.102 -1.225 2.554
1180 7.813 -3.171 -0.249 -0.339 0.182
1181 7.429 -1.007 -0.070 -0.816 0.495
1182 7.110 -1.361 -0.189 -1.206 1.055
1183 7.595 -1.968 -0.042 -0.298 0.273
1184 7.751 -3.205 0.015 -0.031 0.422
1185 7.771 -2.470 0.047 -0.093 0.386
1186 7.855 -2.643 0.040 -0.082 0.271
1187 8.009 -2.125 0.324 0.089 0.488
1188 8.127 -2.053 0.312 0.095 0.405
1189 8.494 -1.508 0.423 0.264 0.817
119 6.553 -3.418 -0.309 -0.546 0.264
1190 8.367 -2.444 0.241 0.084 0.145
1191 8.339 -0.776 -0.085 -0.336 0.601
1192 8.565 -3.481 0.236 0.159 0.193
1193 8.479 -0.918 0.178 -0.359 0.609
1194 8.465 0.167 -0.560 -0.890 1.524
1195 8.664 -2.727 0.025 -0.018 0.481
1196 8.720 -3.600 -0.008 -0.022 0.480
1197 9.043 -2.715 0.465 0.427 1.011
1198 7.759 -0.528 -1.353 -1.759 0.364
1199 8.063 -0.189 -1.243 -1.487 0.150
12 5.867 -2.900 0.063 -0.829 3.125
120 6.079 -2.818 0.244 -0.691 1.519
1200 8.669 -2.943 -0.161 -0.252 0.236
1201 8.730 0.461 -0.659 -0.907 1.762
1202 8.955 -0.589 0.417 -0.046 0.853
1203 8.286 -0.158 -0.361 -1.232 1.237
1204 8.284 -0.291 -0.345 -1.142 1.358
1205 8.704 -2.382 0.332 0.102 0.861
1206 7.868 -0.527 -0.511 -1.259 1.410
1207 7.707 -0.687 -0.573 -1.320 1.355
1208 8.079 -2.249 -0.118 -0.390 0.980
1209 8.173 -3.651 0.341 0.224 0.650
121 6.169 -2.368 -0.132 -1.149 0.467
1210 8.071 -3.590 0.309 0.234 0.580
1211 7.911 -2.685 0.167 -0.045 0.486
1212 7.128 -1.161 -0.851 -1.432 1.281
1213 7.528 -1.415 0.307 -0.577 0.781
1214 7.884 -2.701 0.462 0.365 0.479
1215 7.822 -3.203 0.474 0.420 0.469
1216 6.392 -2.115 -0.153 -1.682 3.882
1217 6.846 -1.543 -0.305 -1.286 1.063
1218 6.874 -1.691 -0.310 -0.935 0.455
1219 7.543 -3.461 0.451 0.388 1.246
122 5.904 -3.117 0.138 -1.115 0.854
1220 6.372 -2.508 -0.156 -1.251 0.222
1221 9.845 0.793 -0.187 -0.659 3.361
1222 7.212 -3.137 0.456 0.350 0.530
1223 6.851 -3.302 0.331 0.129 0.503
1224 5.909 -2.751 -0.014 -1.463 1.012
1225 7.123 -3.386 0.047 -0.059 0.914
1226 7.183 -2.774 0.036 -0.112 0.184
1227 7.080 -1.989 0.324 -0.529 0.255
1228 7.510 -3.724 -0.024 -0.092 0.193
1229 7.704 -3.214 -0.052 -0.175 0.328
123 5.868 -3.139 0.160 -1.054 1.036
1230 7.795 -2.995 -0.369 -0.460 0.205
1231 7.841 -3.139 -0.357 -0.465 0.170
1232 7.389 -1.001 -0.608 -0.981 0.371
1233 7.383 -1.813 -0.486 -0.930 0.475
1234 7.576 -1.479 0.030 -0.464 0.511
1235 7.815 -3.477 0.127 0.054 0.269
1236 7.847 -3.505 0.064 0.028 0.399
1237 7.854 -1.625 0.242 -0.243 0.397
1238 7.696 -1.223 -0.087 -0.794 0.683
1239 8.186 -1.020 0.331 -0.397 2.174
124 6.035 -2.884 -0.015 -1.307 3.307
1240 8.341 -1.420 0.403 0.221 0.351
1241 8.363 -1.504 0.298 -0.039 0.511
1242 8.476 -3.195 0.004 -0.036 0.366
1243 8.590 -3.372 0.050 0.026 0.352
1244 8.708 -3.262 0.016 -0.009 0.417
1245 8.719 -0.878 0.027 -0.306 0.715
1246 8.724 -2.429 -0.480 -0.518 1.057
1247 9.181 -2.931 0.017 -0.010 3.281
1248 8.142 -0.159 -1.174 -1.644 0.397
1249 9.430 0.791 0.217 -0.443 0.794
125 6.450 -3.401 -0.135 -0.525 0.574
1250 9.827 -0.660 -0.018 -0.062 3.701
1251 8.537 -0.952 -0.456 -0.714 0.116
1252 9.341 -2.409 0.458 0.429 1.247
1253 8.465 0.266 -0.917 -1.179 1.160
1254 8.446 -0.030 -0.763 -1.259 1.573
1255 8.690 -0.026 -0.173 -0.552 1.135
1256 8.587 -0.262 0.214 -0.334 0.804
1257 8.469 -0.968 -0.010 -0.366 1.095
1258 7.810 -0.530 -0.615 -1.230 1.404
1259 7.913 -0.528 -0.499 -0.856 1.437
126 6.788 -3.522 0.448 0.296 0.812
1260 8.237 -2.537 0.416 0.265 0.531
1261 8.125 -3.283 0.298 0.183 0.723
1262 7.997 -3.665 0.221 0.063 0.833
1263 7.168 -2.032 0.365 -0.912 1.113
1264 7.789 -2.908 0.268 -0.150 0.838
1265 7.824 -1.916 0.428 0.070 1.233
1266 7.819 -3.033 0.462 0.382 0.624
