count_i, smass, sfr, m_age, l_age, AV 
10111 5.641 -3.843 0.285 -0.248 1.105
10112 6.325 -3.966 0.443 0.302 3.838
10113 5.794 -3.607 0.245 -0.247 1.594
10114 6.176 -3.844 0.422 0.202 2.268
10115 5.685 -3.894 0.290 -0.117 0.866
10116 5.500 -3.595 0.216 -0.496 1.860
10117 5.200 -4.263 0.290 -0.136 4.000
10118 5.487 -3.913 0.242 -0.278 1.021
10119 5.291 -4.118 0.281 -0.212 3.899
1012 6.305 -3.720 0.429 0.229 1.917
10120 5.797 -2.928 0.125 -0.847 2.988
10121 5.709 -3.017 0.143 -0.556 2.321
10122 5.352 -4.053 0.253 -0.203 2.095
10123 5.213 -4.241 0.285 -0.145 3.970
10124 5.318 -3.887 0.275 -0.672 3.983
10125 5.792 -3.351 0.189 -0.343 3.605
10126 5.197 -4.263 0.296 -0.132 3.999
10127 6.407 -3.587 0.355 0.146 3.774
10128 5.578 -3.794 0.337 -0.573 3.972
10129 5.263 -4.089 0.290 -0.420 3.975
1013 6.336 -3.966 0.440 0.308 3.914
10130 5.649 -3.355 0.198 -0.542 0.339
10131 5.744 -3.601 0.209 -0.289 0.789
10132 6.146 -3.943 0.406 0.204 2.477
10133 5.307 -3.890 0.277 -0.764 3.976
10134 5.277 -4.124 0.289 -0.189 2.209
10135 5.566 -3.390 0.172 -0.620 1.361
10136 5.671 -3.587 0.247 -0.704 3.647
10137 5.929 -3.280 0.162 -0.415 2.307
10138 5.377 -3.566 0.221 -1.120 3.962
10139 5.757 -2.972 0.102 -0.857 2.221
1014 5.425 -3.645 0.232 -0.500 0.583
10140 5.546 -4.096 0.132 -0.275 0.100
10141 5.898 -3.694 0.329 -0.054 1.256
10142 5.499 -3.568 0.224 -0.946 0.778
10143 6.265 -3.854 0.058 -0.138 3.644
10144 6.083 -3.857 -0.095 -0.391 3.134
10145 5.495 -3.599 0.248 -0.871 0.691
10146 5.543 -3.569 0.227 -0.924 1.222
10147 5.518 -3.541 0.225 -0.995 1.059
10148 5.623 -3.405 0.240 -0.859 1.435
10149 5.599 -3.425 0.223 -0.992 2.366
1015 5.631 -3.261 0.143 -0.687 2.040
10150 5.427 -3.686 0.245 -0.869 1.293
10151 5.868 -3.617 0.334 -0.546 2.135
10152 5.831 -3.335 0.221 -0.792 2.921
10153 6.319 -3.633 0.339 0.101 2.349
10154 5.576 -3.592 0.219 -0.845 1.075
10155 5.476 -3.521 0.211 -1.052 1.878
10156 5.800 -3.404 0.198 -0.399 0.886
10157 5.544 -3.697 0.253 -0.348 0.677
10158 5.362 -4.032 0.280 -0.321 2.095
10159 5.419 -3.981 0.257 -0.219 0.789
1016 5.861 -3.009 0.113 -0.756 2.167
10160 5.350 -4.078 0.281 -0.162 0.690
10161 5.439 -3.833 0.232 -0.356 0.094
10162 5.638 -3.727 0.203 -0.385 2.517
10163 5.447 -3.616 0.197 -0.590 2.299
10164 5.491 -3.718 0.230 -0.585 1.899
10165 5.447 -3.840 0.268 -0.276 3.805
10166 5.434 -3.596 0.208 -0.368 3.343
