count_i, smass, sfr, m_age, l_age, AV 
0 5.451 -3.709 0.257 -0.396 0.087
1 5.574 -4.036 0.220 -0.208 0.294
10 6.356 -2.430 -0.009 -1.412 2.143
100 6.429 -1.956 -0.412 -1.284 0.128
101 7.690 -3.464 0.086 0.029 3.749
102 7.208 -1.670 0.285 -0.644 1.490
103 7.404 -3.376 -0.085 -0.233 0.478
104 7.381 -2.283 -0.028 -0.275 0.550
105 7.581 -2.510 0.276 0.014 0.331
106 7.381 -1.506 -0.085 -0.792 1.697
107 7.939 -3.460 0.474 0.435 0.454
108 6.505 -1.888 -0.381 -1.635 0.353
109 6.648 -1.794 -0.174 -1.731 3.538
11 6.712 -2.972 -0.345 -0.566 0.250
110 7.086 -1.248 -0.500 -1.361 0.405
111 7.747 -1.869 -0.296 -0.591 0.285
112 8.004 -2.765 0.197 0.095 0.540
113 8.164 -2.705 0.472 0.428 0.437
114 7.642 -0.814 -0.310 -0.850 1.031
115 6.680 -1.709 -0.518 -1.770 2.556
116 7.618 -2.132 -0.418 -0.815 1.453
117 6.695 -1.732 -0.594 -1.607 0.283
118 7.652 -2.990 -0.408 -0.499 1.820
119 6.708 -2.143 -0.115 -1.427 2.023
12 6.245 -2.277 -0.093 -1.146 0.349
120 10.765 1.638 0.340 -0.928 3.138
121 7.759 -3.291 0.464 0.418 0.647
122 6.530 -1.914 -0.353 -1.253 0.232
123 6.335 -2.480 0.068 -1.251 0.418
124 6.918 -3.824 -0.308 -0.432 0.104
125 6.929 -2.976 -0.391 -0.588 0.162
126 7.435 -3.441 0.085 -0.010 0.500
127 7.694 -2.802 0.444 0.334 0.846
128 7.663 -3.819 0.017 -0.036 0.198
129 6.689 -1.911 -0.116 -1.364 0.405
13 6.101 -2.675 0.030 -0.984 0.330
130 7.965 -3.259 0.481 0.412 2.816
131 6.552 -2.066 0.007 -1.614 0.296
132 7.176 -2.026 -0.497 -1.208 0.383
133 7.919 -1.615 -0.021 -0.184 0.327
134 7.739 -2.221 -0.473 -0.773 0.643
135 8.163 -2.203 -0.003 -0.074 1.086
136 6.750 -1.631 -0.652 -1.757 0.601
137 8.174 -2.677 -0.033 -0.175 0.325
138 8.309 -3.363 0.006 -0.037 0.714
139 8.355 -3.488 0.070 0.031 0.796
14 6.848 -3.147 0.128 -0.092 3.186
140 6.847 -1.524 -0.571 -1.776 2.177
