5.926 	1.838 	0 	34.6 
 	 	 	 
6.166 	1.545 	1300 	36.1 
 	 	 	 
5.042 	0.778 	200 	26.1 
 	 	 	 
6.094 	1.961 	0 	35.3 
 	 	 	 
4.637 	2.195 	0 	26.5 
 	 	 	 
6.122 	1.911 	600 	35.6 
 	 	 	 
6.032 	1.677 	1400 	35.3 
 	 	 	 
4.376 	1.744 	0 	25.6 
 	 	 	 
3.945 	1.956 	200 	22.9 
 	 	 	 
4.447 	1.666 	0 	26.1 
 	 	 	 
4.085 	2.173 	100 	23.4 
 	 	 	 
4.691 	1.164 	1000 	26.9 
 	 	 	 
3.237 	2.062 	1800 	18.7 
 	 	 	 
3.949 	1.795 	500 	23.1 
 	 	 	 
5.729 	1.445 	0 	33.5 
 	 	 	 
5.897 	1.596 	200 	34.6 
 	 	 	 
3.513 	1.529 	1800 	20.6 
 	 	 	 
3.554 	2.180 	900 	20.3 
 	 	 	 
3.806 	1.686 	200 	22.3 
 	 	 	 
4.745 	1.597 	500 	27.8 
 	 	 	 
3.118 	1.721 	1500 	18.2 
 	 	 	 
3.89 	1.799 	1800 	22.7 
 	 	 	 
4.694 	1.534 	200 	27.5 
 	 	 	 
4.504 	0.573 	400 	20.5 
 	 	 	 
4.271 	1.324 	300 	24.8 
 	 	 	 
5.414 	1.245 	1700 	31.3 
 	 	 	 
6.265 	0.912 	200 	34.0 
 	 	 	 
5.913 	2.261 	900 	33.6 
 	 	 	 
3.336 	1.506 	500 	19.5 
 	 	 	 
5.329 	1.151 	0 	30.4 
 	 	 	 
3.852 	1.153 	0 	22.0 
 	 	 	 
3.446 	1.584 	0 	20.2 
 	 	 	 
5.689 	1.376 	0 	33.2 
 	 	 	 
5.142 	1.905 	300 	29.9 
 	 	 	 
4.349 	0.863 	0 	23.2 
 	 	 	 
5.312 	1.809 	500 	31.0 
 	 	 	 
5.281 	1.249 	800 	30.5 
 	 	 	 
4.114 	1.535 	200 	24.1 
 	 	 	 
3.735 	1.494 	100 	21.9 
 	 	 	 
6.111 	0.641 	1300 	29.2 
 	 	 	 
5.367 	0.870 	1000 	28.7 
 	 	 	 
5.324 	2.018 	100 	30.8 
 	 	 	 
3.446 	0.770 	300 	17.7 
 	 	 	 
4.917 	1.587 	0 	28.8 
 	 	 	 
3.904 	1.961 	0 	22.6 
 	 	 	 
3.618 	2.080 	0 	20.8 
 	 	 	 
3.721 	1.597 	400 	21.8 
 	 	 	

