3.6	1.56	200	22.1
			
14.1	2.13	-1600	84.5
			
11.3	2.13	1170	65.3
			
19.0	2.30	-520	112.4
			
6.9	1.64	200	41.9
			
18.1	2.10	960	108.4
			
18.8	2.12	-490	112.4
			
32.6	2.53	290	189.4
			
18.6	0.72	460	95.5
			
3.9	1.95	200	23.8
			
17.2	1.51	200	104.3
			
22.0	2.29	200	129.8
			
7.5	1.89	-1030	45.6
			
3.1	1.25	850	18.7
			
7.2	2.13	-350	43.1
			
56.3	1.17	-330	332.1
			
6.0	2.38	970	35.4
			
17.6	2.05	-1010	105.6
			
3.6	2.19	-840	21.2
			
3.8	1.68	220	23.0
			
46.9	2.06	-1850	281.7
			
3.1	1.73	-610	18.9
			
3.0	1.72	200	18.3
			
14.6	2.05	1470	87.7
			
7.4	2.23	1870	44.2
			
6.8	2.08	480	40.7
			
4.1	1.53	230	25.0
			
42.2	2.95	-1450	236.0
			
4.4	0.92	200	24.5
			
14.7	2.17	-220	87.5
			
3.7	1.60	-830	22.7
			
8.3	2.07	-290	49.7
			
5.8	2.00	-690	35.2
			
15.9	1.99	1600	95.5

2.6	0.98	230	15.0
			
2.7	1.22	270	15.8
			
2.2	2.31	-540	12.7
			
2.6	0.77	840	13.7
			
2.9	0.88	200	16.0
			
1.9	1.01	-660	10.6

16.0	1.63	1590	97.3
			
44.5	0.61	-260	212.9
			
42.9	1.89	1140	259.2
			
4.5	2.46	-190	26.3
			
29.4	1.32	240	176.6
			
19.6	0.89	830	108.1
			
45.5	2.00	-920	273.8
			
35.5	1.56	640	215.5
			
9.2	0.50	150	39.9
			
14.9	0.54	-170	67.0
			
21.8	0.54	60	98.2
			
15.0	1.87	1700	90.6
			
44.0	1.28	-1040	263.3
			
55.1	1.46	-1580	333.5
			
57.3	1.94	-1730	345.7
			
24.8	1.88	280	150.1
			



