2.998	650	4.4	35
3.054	270	40.3	322
3.087	150	16.5	131
4.024	250	44.1	320
2.996	1030	68.2	548
3.805	1470	7.6	56
3.078	490	2.1	17
3.984	1120	88.3	644
2.982	1840	13.8	111
3.939	0	83.8	613
3.005	140	34.9	280
3.135	1340	51.2	405
3.872	480	64.8	477
3.660	90	13.9	105
3.021	490	8.2	66
3.971	530	85.7	625
3.863	1130	37.1	273
3.999	140	47.3	344
3.218	1950	30.7	242
4.305	1470	10.9	77
4.255	170	33.4	237
3.623	810	6.4	48
2.961	1240	42.2	340
3.264	160	5.8	45
3.632	450	52.7	398
3.277	970	23.8	186

