gamma prob
-1.4 0.0
-1.2999999999999998 0.0
-1.1999999999999997 0.03622080448963867
-1.0999999999999996 0.06577012567173099
-0.9999999999999996 0.09953421742963516
-0.8999999999999995 0.13750308476893794
-0.7999999999999994 0.18056415185629657
-0.6999999999999993 0.22722081013210285
-0.5999999999999992 0.2790287045143501
-0.4999999999999991 0.339407926992728
-0.399999999999999 0.3994270792142031
-0.29999999999999893 0.45419099874180335
-0.19999999999999885 0.5152188345705723
-0.09999999999999876 0.5682340487626745
1.3322676295501878e-15 0.6050845599947802
0.10000000000000142 0.6251883455186309
0.2000000000000015 0.6319492376533162
0.3000000000000016 0.6257147353747682
0.4000000000000017 0.6057663620634122
0.5000000000000018 0.5714052831692839
0.6000000000000019 0.5248743501281367
0.700000000000002 0.4732310405941277
0.800000000000002 0.41559810176000445
0.9000000000000021 0.35670613264011364
1.0000000000000022 0.2995506836738794
1.1000000000000023 0.24580064974137575
1.2000000000000024 0.19553198776290845
1.3000000000000025 0.1528331418165756
1.4000000000000026 0.11577396086809688
1.5000000000000027 0.08512472592370986
1.6000000000000028 0.06144052334437345
1.7000000000000028 0.04167029330112576
1.800000000000003 0.027194014731703547
1.900000000000003 0.016844804898343613
2.000000000000003 0.010064538642692161
2.100000000000003 0.006295090806395426
2.2000000000000033 0.0
