#zs, m1, m2, SNR 
5.134 16.917 10.815 8.933
6.560 6.288 5.405 7.722
13.214 49.755 13.058 8.800
5.531 30.577 17.017 17.554
4.231 24.415 13.930 9.732
6.560 79.686 58.447 28.416
2.994 19.338 11.605 22.484
13.214 8.053 6.701 2.811
1.944 8.821 8.639 9.859
13.214 5.415 5.009 3.467
1.453 8.508 5.439 4.250
7.248 7.117 7.058 9.154
7.248 6.647 5.628 2.344
2.006 14.982 5.289 28.084
2.460 5.329 5.313 15.931
2.652 10.220 6.786 11.770
5.531 8.893 5.540 6.266
6.560 6.540 6.534 8.328
7.248 5.088 5.053 5.565
2.652 32.287 20.955 27.370
5.134 8.515 5.970 1.770
13.214 5.864 5.190 5.165
2.214 18.623 11.933 11.861
7.248 24.058 7.317 8.928
5.531 9.431 9.104 5.855
4.494 5.278 5.151 7.005
1.722 10.891 6.779 9.920
5.531 5.374 5.184 2.223
13.214 5.932 5.486 7.430
7.248 6.035 5.898 2.201
2.872 7.749 7.502 20.853
5.531 7.527 6.493 1.414
6.560 10.652 6.471 5.670
0.639 10.299 8.572 68.154
2.652 6.881 5.426 8.732
5.134 7.192 6.611 4.123
3.997 9.653 6.504 10.375
8.118 5.849 5.336 5.842
4.792 30.902 20.666 4.105
9.259 23.954 10.794 25.791
8.118 13.662 6.810 1.791
1.944 20.329 19.456 25.733
2.141 5.527 5.159 8.303
5.531 11.669 5.364 8.574
8.118 11.498 6.005 5.041
5.999 27.153 12.630 12.331
6.560 41.425 35.933 7.855
1.672 6.930 6.786 13.480
0.784 22.712 11.230 42.894
3.427 14.805 7.511 6.628
1.453 50.499 48.569 38.114
3.599 12.394 9.479 11.240
4.792 8.757 8.738 9.536
1.827 6.803 5.282 17.736
13.214 5.049 5.019 2.846
1.773 28.857 19.161 17.717
3.427 8.202 7.144 18.265
5.531 8.623 5.849 3.930
3.599 5.204 5.092 5.373
9.259 5.049 5.031 4.105
2.553 5.369 5.223 2.303
4.231 7.051 6.642 16.590
10.840 6.329 5.515 5.842
5.134 6.599 5.280 6.899
1.238 30.898 30.164 124.163
2.652 5.180 5.132 6.618
3.788 7.078 6.597 9.785
3.427 12.157 6.539 19.284
4.494 8.020 5.038 6.984
7.248 8.125 7.493 2.298
3.599 5.624 5.111 3.094
1.206 6.217 5.922 6.119
4.494 13.178 12.980 11.867
1.625 5.840 5.755 4.790
4.494 8.972 6.507 13.684
3.788 13.607 12.567 12.010
5.134 6.045 5.963 4.643
7.248 6.593 5.639 5.006
6.560 5.187 5.040 1.900
2.652 6.824 5.900 17.637
7.248 7.335 5.721 10.954
7.248 10.695 6.098 5.400
3.427 7.561 6.382 11.359
4.494 6.233 6.050 4.645
3.270 15.837 10.141 18.082
2.214 6.405 5.421 6.119
2.460 16.125 9.603 8.469
2.373 7.642 6.818 25.628
2.373 15.978 15.386 13.348
10.840 25.215 23.235 15.431
6.560 7.370 6.794 4.992
7.248 8.344 5.370 5.097
9.259 17.000 15.753 5.649
1.722 5.862 5.385 17.228
10.840 6.708 5.543 7.431
4.231 9.266 5.680 9.106
3.599 8.946 7.613 10.751
7.248 27.323 8.810 2.683
5.531 6.151 5.260 1.883
5.999 6.644 5.369 2.237
5.999 20.560 9.300 13.768
4.792 6.728 6.045 7.200
17.296 12.105 9.247 4.180
5.531 8.362 7.363 4.981
4.792 8.550 8.439 6.807
5.999 5.550 5.063 6.392
5.134 33.969 10.159 18.253
5.531 5.656 5.247 6.659
5.531 6.464 5.012 3.835
9.259 6.141 6.133 4.094
3.270 18.830 5.788 10.013
3.997 8.346 7.617 18.292
1.579 8.201 6.992 16.681
1.414 15.363 9.545 21.705
8.118 6.380 6.129 2.394
3.997 14.416 8.807 9.345
13.214 11.405 8.929 10.746
3.270 13.160 6.207 4.249
1.722 18.717 9.531 21.808
8.118 6.142 5.138 6.249
6.560 8.334 5.505 4.375
17.296 16.496 14.820 1.680
17.296 14.492 6.928 4.639
1.722 9.437 7.029 9.647
1.944 10.373 6.548 7.421
13.214 19.132 14.491 8.900
3.270 7.879 5.203 16.266
5.531 14.031 13.572 8.447
4.792 16.161 10.611 25.949
5.134 5.671 5.501 5.331
10.840 10.787 8.973 4.721
4.494 6.529 6.516 6.234
5.999 15.063 6.186 10.321
3.997 18.444 15.418 17.254
4.494 6.142 5.084 0.584
1.773 11.710 6.537 17.471
1.827 23.844 15.735 38.730
5.531 28.724 11.620 5.510
3.997 6.708 5.216 4.628
9.259 12.094 6.231 4.819
1.175 11.339 7.366 15.031
1.625 5.275 5.165 17.335
3.997 19.794 18.517 14.729
3.427 6.095 5.544 3.961
1.944 19.144 12.342 14.615
2.994 8.905 8.531 3.017
7.248 6.617 5.697 1.135
17.296 5.181 5.171 6.792
2.994 6.857 5.557 4.487
1.414 21.189 7.055 32.141
3.599 5.492 5.409 5.686
9.259 10.141 6.987 6.891
5.999 18.092 8.780 9.858
13.214 6.343 5.085 0.317
0.709 6.487 5.823 2.797
4.494 6.465 5.863 5.108
1.305 13.845 5.367 22.645
4.494 12.842 9.416 17.703
8.118 5.687 5.339 2.130
5.531 25.897 15.184 28.089
13.214 16.113 7.379 5.820
5.531 15.934 13.127 3.403
4.231 48.942 29.984 52.807
6.560 6.757 5.265 3.540
2.214 9.315 8.276 7.849
6.560 14.019 11.506 18.297
1.827 9.451 8.922 21.338
9.259 6.565 6.296 2.741
5.999 66.301 5.431 4.892
5.134 14.047 6.618 9.641
2.460 6.368 5.468 2.441
2.994 6.463 5.034 2.753
2.072 24.441 13.218 23.243
3.127 5.171 5.100 5.306
6.560 20.463 7.835 4.028
3.127 5.412 5.095 5.689
5.134 5.745 5.205 4.414
4.792 13.739 8.669 5.576
5.999 17.059 11.294 7.755
2.006 39.413 38.160 25.845
2.758 11.716 11.474 15.833
7.248 7.147 5.297 1.408
5.134 12.403 9.606 12.351
5.999 7.039 5.461 4.720
2.141 30.824 9.858 21.936
4.231 12.511 9.624 12.040
6.560 9.342 8.040 3.473
2.652 5.895 5.636 2.957
2.072 9.559 5.971 9.974
3.788 10.064 5.251 9.258
3.997 8.191 6.791 7.912
3.788 7.609 5.902 4.444
3.270 5.373 5.317 5.471
9.259 8.844 6.049 8.467
4.792 6.317 5.646 12.290
4.792 13.196 8.323 13.324
5.134 12.759 8.960 16.008
2.373 13.888 12.232 5.631
2.994 5.306 5.212 4.758
6.560 6.805 6.188 0.871
2.872 5.782 5.093 13.773
1.827 18.835 13.148 47.369
8.118 7.057 6.426 6.409
3.599 8.125 8.029 5.684
1.579 6.765 6.324 12.707
10.840 8.639 8.091 6.004
1.206 6.171 5.218 9.456
3.270 9.994 6.203 3.807
3.788 5.596 5.419 8.534
1.722 15.400 11.831 4.524
5.999 5.247 5.005 5.545
0.846 9.668 9.323 64.336
8.118 6.354 5.190 1.067
5.999 5.534 5.126 3.129
1.722 5.722 5.482 11.676
7.248 14.201 10.491 5.782
9.259 21.962 15.327 2.100
2.373 6.640 5.523 7.341
7.248 24.672 23.797 8.886
9.259 25.438 24.767 8.322
2.758 11.408 6.342 8.827
2.460 16.693 11.358 16.994
1.238 5.113 5.053 0.913
9.259 26.241 5.282 13.739
4.231 5.408 5.101 6.414
5.134 10.834 7.879 7.523
1.944 5.663 5.344 10.706
2.652 6.832 5.503 9.537
1.493 13.077 6.687 12.836
3.270 7.137 6.051 7.810
9.259 7.136 6.734 12.043
5.999 10.537 8.567 10.074
0.673 6.520 5.768 12.773
2.141 8.876 8.217 12.243
4.231 12.793 8.041 8.263
3.127 9.435 5.305 7.625
8.118 12.450 11.800 8.261
3.788 7.720 6.503 16.744
7.248 5.181 5.142 2.183
5.531 5.744 5.677 12.543
17.296 7.734 5.048 1.670
4.792 12.431 9.222 18.630
7.248 7.233 5.669 4.531
2.994 5.910 5.248 5.361
4.231 26.036 17.092 9.241
5.134 5.061 5.042 2.593
1.827 17.637 6.342 10.264
8.118 14.689 13.553 3.720
5.134 10.126 6.362 9.450
3.599 7.140 6.799 6.402
4.792 7.382 6.886 1.919
2.994 5.902 5.217 10.694
5.999 42.457 18.384 7.916
9.259 18.742 13.108 5.197
7.248 14.535 9.242 5.579
4.231 13.014 5.986 13.167
1.271 7.586 7.303 19.252
1.009 28.497 8.650 24.306
2.652 6.068 5.441 7.483
13.214 68.442 63.686 18.664
2.291 5.581 5.233 2.982
6.560 7.522 5.017 7.024
2.758 14.792 10.370 16.005
1.340 13.406 8.911 11.191
13.214 6.708 5.272 4.475
4.494 14.413 12.148 5.316
2.291 8.541 5.041 11.053
3.427 46.741 16.574 9.583
0.868 7.175 6.108 14.960
3.599 10.297 6.645 9.962
10.840 6.013 5.317 4.355
5.134 7.042 5.121 2.787
5.531 7.061 6.689 3.383
5.999 22.207 19.738 28.891
9.259 16.186 5.047 8.167
8.118 9.974 7.024 3.782
5.999 49.901 35.480 11.869
5.999 31.848 10.856 3.548
2.994 16.845 7.605 14.406
13.214 11.848 5.151 4.537
9.259 5.963 5.645 8.056
1.493 7.637 7.527 13.538
1.625 5.077 5.004 11.107
9.259 16.796 8.396 11.001
2.758 73.113 8.492 22.093
8.118 5.553 5.111 4.188
5.134 13.635 7.328 18.462
5.999 5.215 5.175 3.128
10.840 8.354 8.231 8.740
2.553 11.562 6.089 6.856
5.134 17.474 13.464 10.239
8.118 66.886 41.507 21.071
5.999 5.198 5.077 7.409
8.118 15.814 11.940 5.044
1.579 12.940 12.855 14.605
5.531 59.013 53.324 41.030
2.072 5.495 5.436 14.986
7.248 9.908 5.828 5.755
2.994 5.459 5.240 6.411
3.599 12.991 12.226 11.067
0.241 13.193 5.178 116.984
5.134 10.366 7.752 3.782
3.788 6.557 6.322 3.736
4.792 20.440 18.637 18.583
2.994 25.381 22.089 37.976
7.248 5.661 5.208 2.263
5.531 19.098 16.225 7.567
10.840 5.529 5.445 6.946
5.999 7.563 5.746 5.088
5.531 14.045 12.868 15.053
1.493 11.451 7.458 27.889
5.531 6.514 5.093 5.318
0.935 6.241 5.308 11.238
1.493 8.525 5.568 19.964
2.006 5.054 5.004 6.301
2.373 7.912 6.673 7.668
10.840 10.991 9.014 2.588
1.773 15.625 10.838 24.107
2.872 10.661 7.925 9.709
2.291 7.566 6.237 7.413
2.460 9.326 6.490 6.258
3.997 10.031 9.253 5.903
2.872 5.717 5.573 2.878
4.494 5.618 5.532 2.333
2.994 8.534 5.283 11.041
1.175 10.011 9.164 11.155
4.494 6.402 5.661 4.155
3.270 31.571 21.782 26.713
17.296 32.666 27.806 8.792
4.231 13.802 11.269 5.712
6.560 7.044 5.943 3.618
6.560 6.178 5.757 1.933
3.127 29.918 16.947 24.212
3.997 6.490 6.026 7.628
3.997 5.148 5.062 11.922
9.259 16.222 5.727 1.418
1.238 31.192 14.981 51.039
3.127 11.272 10.273 6.939
5.999 18.456 12.301 13.443
2.872 6.851 5.943 10.477
8.118 6.380 6.204 3.736
2.373 62.689 30.101 50.432
8.118 7.689 6.419 3.623
1.827 37.333 17.998 45.482
2.006 5.057 5.043 9.317
2.994 18.444 7.768 20.608
1.884 15.521 10.024 9.595
7.248 10.420 7.477 8.229
5.999 8.223 7.051 5.462
3.270 9.151 7.911 1.540
2.652 5.940 5.584 6.407
5.531 10.894 10.128 9.070
6.560 35.472 12.364 12.401
1.535 8.020 6.980 8.771
3.270 14.581 13.489 10.200
8.118 9.016 6.008 6.055
1.206 60.461 48.241 76.263
2.141 5.951 5.733 5.944
8.118 10.372 7.695 2.251
2.994 5.136 5.090 7.703
10.840 32.986 14.565 7.811
17.296 8.180 6.161 2.382
4.494 10.448 7.270 8.384
2.291 28.038 10.527 40.248
3.997 5.316 5.051 2.401
5.134 20.536 16.300 3.341
5.134 13.857 7.917 4.351
5.999 26.962 13.775 26.294
10.840 7.347 6.046 5.062
8.118 15.511 11.688 1.116
2.214 5.527 5.132 12.428
2.006 16.676 13.642 8.627
9.259 5.275 5.021 1.659
1.722 5.547 5.416 16.877
6.560 7.707 6.885 5.463
6.560 5.187 5.124 8.022
5.531 8.301 8.265 12.451
2.006 5.940 5.141 5.955
2.872 22.226 20.943 17.275
2.460 8.944 7.006 12.888
5.134 8.402 7.340 8.202
3.599 7.188 5.612 12.239
9.259 7.661 5.807 6.635
3.270 15.589 7.013 5.448
6.560 6.352 5.477 4.025
3.427 5.387 5.058 1.002
9.259 6.093 5.216 1.433
3.599 7.160 7.033 7.462
0.421 19.876 11.549 45.653
1.944 11.369 7.984 26.593
6.560 6.301 5.458 8.432
10.840 6.499 5.639 6.474
2.994 6.803 6.570 9.249
8.118 31.415 14.558 6.406
1.722 7.191 5.217 3.606
3.788 5.870 5.724 12.148
2.006 17.315 13.015 13.518
2.141 19.894 18.813 16.645
4.792 10.742 7.848 7.634
3.788 7.219 5.685 8.324
8.118 19.436 10.886 10.571
4.792 28.289 9.155 12.385
4.792 7.764 5.917 13.885
17.296 54.014 43.543 9.290
5.999 5.704 5.470 6.807
7.248 9.004 8.896 7.734
3.997 5.745 5.087 5.076
6.560 8.390 7.172 10.689
4.231 6.985 5.136 4.438
9.259 5.417 5.072 0.546
7.248 5.793 5.605 9.971
1.773 8.426 7.594 20.127
4.792 5.153 5.031 6.161
5.134 27.720 16.061 3.447
2.994 9.650 5.642 6.952
2.872 5.295 5.017 12.942
2.994 7.096 6.327 10.871
2.460 32.383 6.281 9.610
7.248 5.143 5.010 1.548
3.788 8.816 8.769 15.276
7.248 7.184 6.107 3.074
3.599 14.317 12.453 25.674
8.118 14.436 7.173 4.692
5.134 8.685 5.039 10.757
2.553 6.742 5.829 10.802
5.134 6.217 5.013 12.768
4.792 8.678 7.613 4.617
2.460 5.520 5.077 9.178
4.792 5.294 5.260 4.059
1.722 22.639 5.915 18.009
10.840 7.089 5.593 3.191
2.994 11.534 11.310 3.447
3.599 10.131 8.204 9.534
1.414 41.041 23.505 59.391
2.141 7.046 6.527 12.584
1.376 5.189 5.044 8.422
3.599 10.093 9.713 4.716
1.944 6.136 5.878 4.104
2.460 8.936 7.871 9.761
3.788 5.947 5.058 5.747
2.072 9.250 6.391 16.548
4.792 16.561 7.106 12.178
1.827 5.078 5.039 15.326
9.259 5.733 5.047 4.029
8.118 5.930 5.412 2.566
2.460 6.052 5.398 11.096
4.792 5.900 5.672 8.291
4.231 8.290 5.854 6.539
8.118 16.389 15.371 15.311
5.999 9.088 6.565 8.842
3.788 6.116 5.540 2.926
5.999 11.226 8.019 8.659
4.494 11.328 5.187 12.036
1.376 5.806 5.270 4.845
2.652 11.792 5.430 10.734
5.999 5.164 5.066 5.827
5.999 7.819 6.609 5.790
5.531 5.839 5.707 3.835
4.792 19.715 12.438 10.100
6.560 5.872 5.230 3.309
2.373 5.091 5.007 13.226
3.599 5.782 5.710 9.884
9.259 7.229 6.034 0.375
6.560 5.469 5.049 5.682
3.270 12.583 5.114 12.203
3.427 41.412 23.449 13.397
10.840 5.166 5.145 2.194
2.214 6.638 6.607 23.939
3.270 24.390 19.410 18.013
2.006 6.736 5.522 7.183
9.259 6.795 6.108 2.378
6.560 5.969 5.044 3.534
3.788 11.708 5.995 7.933
1.535 8.369 5.105 8.993
5.999 12.771 11.953 10.088
3.997 6.399 5.788 8.456
9.259 37.682 13.554 23.351
8.118 11.149 5.330 8.800
5.531 14.430 12.372 6.398
2.758 14.766 5.417 10.236
5.999 7.339 6.491 8.304
3.599 11.565 8.881 4.821
4.494 7.040 5.732 13.101
3.427 18.017 9.676 9.678
13.214 6.371 5.743 0.589
1.376 5.501 5.071 6.711
2.006 10.304 7.736 8.074
2.553 8.655 7.745 8.169
6.560 8.622 5.294 5.904
3.127 9.916 7.620 11.503
5.134 5.749 5.164 2.226
6.560 5.085 5.003 1.744
8.118 10.328 7.494 4.262
5.531 10.136 8.708 5.140
4.494 5.377 5.000 1.959
5.134 5.262 5.145 7.394
3.788 20.018 19.619 10.330
5.531 7.609 6.888 5.429
4.792 6.543 6.125 8.746
2.758 11.439 5.665 2.982
7.248 11.772 9.086 1.233
9.259 8.922 6.601 0.360
5.134 5.873 5.130 10.611
5.999 26.586 5.563 12.435
7.248 17.694 17.102 6.935
2.872 6.068 5.874 5.176
4.792 6.087 5.519 3.517
3.127 24.280 22.707 26.016
4.494 21.768 14.792 22.142
1.340 6.895 5.398 7.182
0.656 5.210 5.118 12.527
2.072 5.815 5.724 19.340
7.248 6.496 6.220 4.540
2.141 15.131 13.876 27.571
3.127 5.584 5.436 5.916
17.296 8.418 6.010 3.728
6.560 6.191 5.179 2.011
4.494 6.821 6.123 9.771
3.127 5.571 5.383 12.889
5.531 17.795 6.908 18.335
2.652 8.731 5.281 11.153
10.840 5.877 5.318 2.775
5.134 5.655 5.262 11.094
4.792 8.336 8.164 6.193
3.997 9.095 8.070 3.714
3.788 6.028 5.522 8.991
5.134 6.106 5.002 2.349
3.127 6.940 6.925 6.938
1.722 6.820 6.607 5.428
4.792 10.122 7.304 9.508
2.994 5.350 5.124 7.775
5.531 22.510 22.253 9.371
6.560 13.255 11.335 5.660
5.999 6.351 5.119 3.497
3.599 6.170 5.984 3.024
3.599 10.733 5.479 3.034
5.531 13.793 11.216 4.973
5.134 7.076 6.036 4.007
3.997 39.283 15.260 7.793
1.672 9.473 6.895 8.793
3.427 11.770 11.534 14.012
2.872 24.241 11.892 11.740
5.531 11.712 11.349 6.072
3.599 8.175 6.630 8.595
3.427 5.956 5.748 5.346
1.271 9.229 8.696 19.720
5.531 5.654 5.150 11.531
1.625 9.847 9.159 3.861
1.493 6.823 6.005 0.434
6.560 7.669 6.837 0.743
2.872 11.633 7.952 3.783
3.997 64.566 20.060 5.484
4.792 5.569 5.284 6.941
6.560 5.217 5.098 8.223
3.788 21.087 19.111 4.017
1.944 12.016 6.490 7.571
2.758 7.347 7.031 8.361
6.560 5.415 5.115 7.598
1.722 15.754 11.203 18.809
5.134 34.152 15.437 19.971
4.792 12.238 7.816 8.534
3.127 5.682 5.040 6.927
3.599 13.835 9.553 15.502
4.494 6.326 5.746 2.409
1.145 6.232 6.062 7.791
1.579 35.525 16.552 38.292
13.214 5.901 5.176 2.975
5.999 6.645 5.337 10.752
6.560 15.758 6.115 3.464
4.231 5.134 5.087 2.673
0.545 7.458 6.426 29.412
6.560 6.657 6.317 4.901
3.599 5.254 5.122 4.603
4.792 8.819 6.398 3.298
2.994 5.095 5.004 6.015
1.376 6.185 5.355 12.287
5.531 9.066 7.554 3.067
5.134 5.281 5.280 10.452
3.127 16.530 14.796 20.018
17.296 7.842 5.688 9.817
2.994 7.581 5.291 5.789
2.758 15.911 15.638 16.820
9.259 9.839 7.841 4.288
5.999 31.824 5.209 3.180
3.997 42.520 41.407 32.811
5.999 7.651 5.568 6.262
1.672 6.131 5.880 17.410
1.827 5.851 5.446 5.744
3.997 5.693 5.664 6.377
5.999 6.590 6.462 2.517
2.758 10.024 7.234 8.773
5.531 12.291 11.155 15.817
2.141 7.894 6.114 6.927
1.579 19.305 5.386 30.431
4.792 14.572 11.541 9.209
2.994 6.337 5.217 12.754
2.006 6.081 5.359 15.314
2.652 11.128 9.241 18.873
2.373 6.718 5.192 14.186
2.373 7.390 6.561 11.200
10.840 6.332 5.546 2.443
2.994 20.068 10.128 14.920
10.840 14.355 9.115 7.588
2.072 5.004 5.002 3.209
17.296 12.999 8.222 7.790
1.773 10.994 6.301 12.857
9.259 13.942 6.760 1.771
5.134 26.850 21.590 8.678
5.531 5.497 5.297 9.841
3.427 7.815 7.620 1.682
7.248 5.612 5.338 0.284
17.296 10.274 5.002 4.364
1.493 8.089 7.977 14.146
2.872 5.805 5.084 16.931
2.553 5.640 5.495 9.035
13.214 5.281 5.206 3.647
1.206 5.017 5.001 5.206
1.116 8.493 8.419 14.080
2.072 5.628 5.515 10.203
2.460 7.670 6.419 7.114
5.531 23.301 17.130 6.666
4.494 6.704 6.520 6.247
6.560 9.053 7.251 2.670
2.652 8.344 7.208 15.285
5.999 17.720 12.110 16.610
1.884 12.686 9.592 1.000
1.493 5.604 5.576 14.998
2.872 5.218 5.109 8.168
6.560 5.997 5.385 2.010
2.994 10.324 8.794 11.639
9.259 15.439 8.999 6.827
9.259 6.621 6.169 5.315
2.758 19.164 11.102 27.471
2.072 9.055 7.707 16.927
4.494 12.885 8.688 7.714
1.414 6.689 5.737 5.658
5.999 5.095 5.022 3.781
9.259 8.342 7.996 1.534
3.599 7.179 6.067 6.411
4.494 5.735 5.633 2.525
3.788 6.495 5.148 8.232
2.214 6.126 5.935 3.246
13.214 57.691 35.018 7.774
3.427 46.198 22.880 18.384
7.248 6.942 6.125 5.830
5.134 5.670 5.610 7.972
9.259 5.808 5.718 5.090
1.944 24.891 22.044 9.061
10.840 7.012 5.307 4.006
2.373 60.986 33.925 37.712
2.460 5.263 5.090 4.140
4.494 7.894 7.632 10.571
13.214 6.619 5.547 2.409
3.997 9.936 8.225 3.170
5.999 12.143 7.562 9.351
2.373 6.782 5.927 8.500
7.248 8.826 5.144 1.260
2.460 7.076 6.124 11.400
3.997 13.660 13.305 0.486
7.248 8.697 6.597 13.792
9.259 6.204 6.194 6.877
8.118 6.670 6.298 3.527
3.127 15.583 10.326 7.848
7.248 14.631 5.046 11.114
3.599 5.089 5.059 3.247
5.999 8.308 5.894 3.024
2.373 12.129 9.400 12.832
3.427 42.674 24.822 13.944
3.599 19.856 13.882 19.317
5.531 11.348 8.375 5.410
6.560 5.274 5.115 4.473
6.560 5.631 5.567 4.258
6.560 9.177 5.312 9.174
1.944 6.044 5.546 7.580
10.840 7.071 5.393 6.461
4.792 5.839 5.018 3.826
3.997 7.554 5.138 6.704
1.535 9.228 5.970 8.457
3.127 6.364 5.607 8.133
2.141 9.210 8.420 12.618
1.773 6.831 5.837 2.923
5.531 7.215 7.035 4.209
5.134 10.361 6.777 4.954
2.006 6.552 5.035 5.978
5.531 18.840 17.288 4.591
3.788 6.323 5.515 5.245
7.248 7.035 6.325 3.462
1.944 5.452 5.185 8.072
2.872 7.688 5.491 5.523
5.134 5.009 5.006 3.197
13.214 23.002 14.770 13.298
3.997 19.614 12.974 13.032
8.118 5.056 5.029 5.772
6.560 5.083 5.039 0.741
7.248 6.426 5.881 4.928
1.579 6.473 5.058 6.016
1.722 7.636 6.033 15.516
5.999 8.715 7.818 9.754
2.291 15.406 7.898 7.495
5.999 5.642 5.005 12.798
2.141 20.102 18.676 29.150
10.840 7.890 7.208 4.261
5.134 5.034 5.027 3.365
5.134 15.684 13.949 14.185
3.788 28.476 6.597 16.875
1.944 9.695 8.925 12.981
5.134 48.179 34.934 17.725
2.460 5.132 5.124 7.870
3.599 10.164 10.087 15.696
6.560 30.459 6.340 12.457
2.994 6.993 6.776 12.958
3.427 9.074 6.313 7.169
3.997 11.449 9.747 2.936
1.884 5.340 5.338 5.032
4.792 5.548 5.469 2.225
9.259 9.709 6.932 4.279
4.494 17.819 11.717 8.593
3.127 7.391 6.694 2.632
8.118 25.625 6.861 2.376
8.118 6.105 5.905 11.939
1.722 12.957 11.089 9.738
4.792 43.705 13.426 22.460
6.560 5.063 5.008 1.244
5.531 7.835 6.204 3.705
4.494 23.285 5.384 23.680
5.999 5.808 5.584 1.941
3.599 11.009 5.550 1.838
5.999 25.894 12.548 24.824
4.792 6.571 5.725 7.580
13.214 11.901 8.284 8.195
3.788 5.602 5.060 3.612
1.884 12.125 9.895 18.588
2.994 5.724 5.096 9.162
2.141 6.096 5.822 1.309
5.531 61.264 27.353 18.675
5.531 13.338 7.020 9.569
4.231 10.001 8.989 11.574
3.599 43.042 33.566 3.973
6.560 13.269 7.337 3.460
4.494 10.510 5.152 5.957
4.231 8.601 7.693 6.187
13.214 6.982 6.646 6.988
7.248 6.121 5.608 2.767
4.494 5.021 5.001 2.458
3.788 5.396 5.291 11.918
2.214 39.954 6.256 13.254
1.493 6.166 5.249 6.070
1.579 10.512 5.760 25.199
2.291 6.177 6.068 12.597
2.994 9.294 7.990 4.929
1.672 8.120 5.748 19.172
3.427 5.391 5.102 5.881
10.840 7.284 6.988 11.198
4.792 51.629 15.971 24.171
1.944 5.679 5.020 22.665
13.214 9.123 5.086 3.981
2.872 6.457 5.562 10.363
4.792 8.358 8.182 9.291
0.784 10.310 8.807 21.320
7.248 6.992 6.457 7.120
1.579 9.016 6.915 14.828
1.175 14.170 13.213 11.339
13.214 8.616 8.402 2.586
10.840 6.835 5.440 1.112
3.788 6.440 5.002 8.894
3.270 36.282 15.496 25.273
5.999 8.338 7.035 7.031
5.531 12.971 9.858 19.946
2.872 6.180 5.131 1.353
0.765 6.551 5.661 14.060
4.231 17.229 14.047 28.982
13.214 9.244 7.747 4.274
2.758 19.156 15.515 9.346
6.560 22.487 12.022 10.312
10.840 5.045 5.010 0.703
1.773 6.223 5.046 2.798
5.531 16.175 12.845 12.105
4.792 10.813 7.197 8.659
3.997 8.004 7.303 9.499
6.560 11.157 7.035 4.366
3.127 22.154 8.584 11.457
9.259 10.386 5.248 5.436
2.006 14.494 9.810 38.405
8.118 10.321 9.226 3.996
9.259 7.398 6.685 7.221
6.560 29.664 16.591 22.421
5.134 48.509 23.018 10.670
0.606 10.100 5.725 50.569
1.773 62.133 45.766 14.000
7.248 6.123 5.337 4.969
4.231 10.091 7.698 9.464
3.997 9.614 5.960 12.669
5.999 17.232 11.383 16.708
5.999 8.266 5.264 7.926
5.134 6.590 5.252 3.701
2.460 5.061 5.008 13.055
3.997 7.979 7.055 7.324
8.118 26.130 23.028 2.939
10.840 5.470 5.045 2.853
4.494 6.619 5.140 5.674
3.788 5.507 5.442 10.483
2.872 6.006 5.446 3.233
4.792 7.994 7.945 10.297
5.999 6.343 5.523 5.943
4.792 28.854 16.285 8.847
1.944 5.395 5.212 2.604
7.248 11.590 8.350 2.789
2.006 35.842 16.999 24.230
4.231 9.715 5.111 13.418
1.175 10.588 8.910 31.766
3.127 5.761 5.147 8.613
5.999 7.652 5.398 2.011
6.560 8.885 8.192 3.414
13.214 8.549 7.760 5.362
2.994 5.485 5.145 5.497
4.494 6.346 5.863 9.360
13.214 5.525 5.403 5.174
13.214 7.863 7.087 2.908
10.840 5.101 5.071 3.693
2.758 11.462 5.159 21.701
5.134 9.174 7.597 11.345
1.672 8.368 7.339 13.244
2.994 20.099 15.532 15.454
1.061 9.731 6.389 18.458
4.792 23.942 16.704 5.318
10.840 10.280 5.112 6.271
5.531 10.311 7.447 2.705
3.127 5.376 5.223 5.658
4.792 5.151 5.074 3.703
4.792 5.934 5.862 3.961
3.599 16.679 15.164 14.743
4.231 9.547 8.800 17.395
3.270 12.289 6.353 3.971
1.672 9.832 7.497 13.709
9.259 5.085 5.070 6.733
2.758 20.794 15.002 9.020
5.531 5.006 5.003 7.056
8.118 5.256 5.063 1.021
1.009 20.595 17.327 36.891
3.599 5.150 5.055 11.581
4.231 18.074 11.156 11.319
3.599 25.255 19.452 30.047
1.340 36.510 9.211 7.879
4.231 6.757 6.313 5.280
5.999 6.584 6.142 4.192
3.788 29.516 20.160 16.224
1.206 7.780 6.601 17.803
7.248 7.953 5.058 4.803
4.494 7.437 6.851 12.161
10.840 28.053 17.880 23.321
3.270 5.688 5.208 3.067
3.599 17.354 14.322 10.201
5.999 5.275 5.175 5.460
5.134 31.888 8.212 15.367
5.531 26.105 13.326 20.719
5.134 9.751 5.681 5.022
7.248 7.741 7.694 2.614
4.494 29.127 13.378 8.710
4.231 7.695 6.686 13.352
10.840 7.044 5.794 1.628
2.872 5.837 5.180 3.883
4.792 9.379 7.806 6.987
1.625 6.927 6.729 3.853
3.599 7.622 5.224 12.884
4.231 8.117 5.466 6.487
3.270 7.053 6.224 7.581
3.599 7.081 5.292 8.207
2.994 5.168 5.124 2.877
2.141 5.382 5.072 5.624
1.884 7.000 5.485 7.982
5.999 7.471 6.952 10.357
5.134 15.298 14.957 10.906
7.248 6.963 6.714 9.393
4.792 10.054 6.877 3.407
