#zs, m1, m2, SNR 
2.758 27.489 5.191 7.301
4.792 5.627 5.277 4.320
3.997 7.764 6.637 13.187
2.872 15.432 9.267 17.749
2.872 22.859 17.390 23.064
2.214 5.904 5.590 3.862
3.270 21.216 15.949 41.214
3.270 10.703 7.696 7.039
17.296 6.149 6.053 3.945
3.788 7.946 5.155 9.988
5.531 17.646 5.389 11.515
5.999 5.692 5.537 9.023
2.141 8.081 6.437 4.904
5.531 5.123 5.015 1.259
4.792 9.371 8.534 14.736
1.535 9.763 8.839 17.010
10.840 6.292 6.104 1.886
5.531 5.000 5.000 0.527
2.141 6.166 5.299 10.244
13.214 11.250 6.828 6.541
5.531 5.645 5.218 3.542
4.231 6.709 6.210 7.274
5.134 7.056 6.040 13.434
2.553 6.520 5.796 5.840
5.134 5.130 5.026 6.838
1.773 5.492 5.478 9.537
7.248 7.203 5.924 1.934
3.427 12.687 9.398 3.285
3.788 5.460 5.371 15.546
9.259 59.732 53.832 32.637
3.788 5.207 5.197 3.594
4.231 14.402 10.685 8.399
4.494 6.978 6.198 6.147
0.935 28.938 15.114 112.667
2.291 7.406 7.187 6.565
1.672 5.189 5.186 14.325
8.118 7.930 6.493 1.323
6.560 14.306 13.446 2.252
1.944 5.899 5.554 7.001
6.560 5.359 5.128 2.352
2.994 8.513 6.825 10.899
3.997 12.196 10.932 12.732
3.599 6.086 5.535 9.144
2.460 10.471 9.367 16.805
9.259 9.382 8.278 6.968
5.999 5.047 5.030 4.635
3.127 9.340 9.174 12.309
4.231 9.279 6.195 0.498
13.214 6.149 5.110 7.501
5.531 7.915 6.915 9.330
8.118 13.434 5.434 7.175
2.291 18.427 10.711 7.662
1.722 34.401 22.376 27.399
2.141 5.090 5.036 15.804
5.531 5.918 5.023 8.683
9.259 41.761 37.027 28.122
4.231 8.947 8.874 7.154
3.599 18.089 18.067 9.270
3.127 5.742 5.568 7.032
2.553 5.750 5.643 6.902
8.118 23.860 23.093 9.302
3.997 14.361 11.994 13.230
2.373 13.815 11.116 15.744
2.994 5.542 5.402 3.702
9.259 6.550 5.009 3.520
2.872 5.238 5.145 3.304
1.579 39.878 26.996 111.701
6.560 12.000 11.853 12.919
1.722 5.607 5.370 7.216
2.072 6.042 5.255 4.970
10.840 5.557 5.453 4.063
8.118 5.079 5.032 2.240
6.560 10.251 5.613 11.724
3.788 16.091 10.753 6.183
3.599 5.023 5.012 0.329
4.231 6.472 6.374 5.674
2.291 5.229 5.108 5.033
2.460 6.608 5.660 16.561
5.531 13.751 8.350 4.536
3.997 8.364 6.483 9.804
6.560 5.038 5.010 2.652
2.291 7.864 7.039 1.040
4.792 6.058 5.662 6.837
9.259 9.354 5.455 11.558
2.652 5.556 5.016 6.654
4.231 48.260 27.989 68.034
5.999 19.838 9.616 17.919
10.840 9.994 8.368 5.553
2.652 31.263 17.819 26.161
6.560 30.096 10.270 13.175
2.872 76.395 9.200 6.663
8.118 17.561 10.520 10.128
7.248 8.438 7.883 7.981
13.214 5.012 5.003 5.349
4.494 17.869 8.282 17.182
2.994 6.161 5.283 4.421
3.788 5.802 5.221 5.345
6.560 5.199 5.070 1.018
10.840 5.013 5.012 4.815
2.460 5.080 5.012 10.963
2.652 14.445 9.916 12.478
2.553 5.808 5.271 9.964
1.773 31.611 31.030 45.514
7.248 5.553 5.429 1.196
2.006 5.269 5.268 7.764
2.373 25.507 12.338 19.578
3.270 10.156 5.493 7.307
3.788 5.662 5.365 8.178
5.134 5.649 5.189 3.057
1.773 10.018 5.868 9.533
7.248 15.373 14.365 14.443
5.531 23.546 20.971 26.167
1.884 14.227 5.829 0.223
5.134 8.885 7.510 7.392
1.414 8.029 7.866 15.115
1.827 8.032 5.534 9.825
6.560 6.936 5.955 4.734
8.118 16.684 14.507 10.060
3.599 5.447 5.163 4.469
2.373 13.939 5.405 9.223
5.531 6.853 6.802 2.800
1.535 24.339 11.113 21.607
4.231 5.531 5.188 10.173
8.118 9.926 5.001 3.403
3.127 5.193 5.104 7.480
5.999 5.117 5.107 2.681
6.560 57.845 51.868 25.125
5.531 5.214 5.046 5.781
10.840 5.385 5.321 3.542
13.214 5.304 5.169 0.473
6.560 8.360 6.061 11.742
2.291 12.276 5.168 6.877
3.427 5.082 5.079 0.711
3.427 5.973 5.956 8.861
0.474 7.590 6.967 62.033
5.134 13.502 11.818 17.984
3.270 18.636 12.386 3.687
5.134 5.255 5.159 2.531
2.141 7.907 6.328 14.642
3.599 5.262 5.259 1.067
2.072 11.233 7.074 23.153
4.231 5.573 5.322 3.768
2.291 10.848 8.727 4.080
9.259 16.112 15.561 10.509
6.560 5.217 5.032 3.853
4.494 7.747 5.745 6.079
1.175 6.694 5.351 13.568
0.656 6.251 6.092 12.291
1.414 5.902 5.762 24.550
2.758 13.728 11.965 18.888
4.494 6.225 5.226 10.436
2.214 7.164 5.614 15.129
6.560 10.503 8.537 9.465
5.531 14.516 11.919 6.910
5.134 5.657 5.523 5.546
1.827 6.421 5.832 14.995
1.625 13.425 13.368 13.758
3.427 11.012 8.680 10.483
5.531 6.613 6.235 8.189
4.494 11.754 10.674 12.032
4.231 11.210 5.409 9.496
2.141 10.738 9.810 8.010
3.997 5.884 5.355 8.625
7.248 5.021 5.010 3.358
4.494 16.463 8.529 3.995
4.494 6.192 6.088 6.725
3.788 8.429 7.905 3.844
1.625 6.151 5.550 18.018
2.652 5.818 5.518 13.614
7.248 17.963 6.311 9.689
2.872 15.054 6.086 6.665
8.118 10.224 5.746 8.315
4.494 14.906 13.969 11.154
1.827 6.489 5.697 14.477
17.296 11.517 5.602 5.106
4.792 6.657 6.131 8.389
4.231 23.994 21.942 13.504
9.259 15.897 7.430 8.618
17.296 8.041 7.753 4.301
5.531 6.644 5.395 5.275
1.579 10.671 5.987 16.616
3.788 39.714 17.499 49.902
4.494 8.535 6.467 15.289
2.373 5.173 5.068 6.812
5.531 23.362 7.164 19.518
2.006 5.676 5.032 1.996
4.494 7.187 5.926 15.117
5.531 10.373 7.783 14.040
1.827 7.849 5.172 7.021
3.127 15.251 12.149 10.901
