# id  z  mbh  mbh_err  mgal  ps_mag  spectra  bit
000002.50+021818.9 0.7883223 7.809550182437323 0.23624602276815906 10.6743731367 20.687533161678505 BOSS eboss_core
000010.97+005653.3 0.653454 8.144240894504264 0.08777080183716685 10.45535071 21.04620085817204 BOSS eboss_core
000017.74+020027.9 0.4136173 7.883383610720929 0.06309083567285635 10.6905500608 18.9330981602093 BOSS eboss_core
000017.88+002612.6 0.5457 8.451709695957188 0.1909743656207004 10.8952394322 20.01330349444586 SDSS other
000022.05+011742.5 0.4163657 8.239442866422493 0.10142657927278415 10.5256021443 19.196479917781303 BOSS eboss_core
000026.27+022140.8 0.77 8.206052491637614 0.20317232292564238 10.7574063553 20.785553827471443 BOSS other
000032.72-013122.8 0.646 8.504393285759075 0.3508647979264362 11.1969989949 20.53935785723356 BOSS boss_core
000048.17+013313.6 0.664 9.338426592010372 0.07357827420512913 11.4154704345 18.925348373160027 BOSS boss_core
000102.74+012941.9 0.7260214 7.794780142060001 0.2201243150695369 10.6128982919 19.709087260913655 BOSS eboss_core
000104.52+002753.7 0.5512 8.036302184801125 0.19531220492095408 10.0416971591 20.536349913286724 SDSS other
000109.12-004121.6 0.4166 7.771664226074278 0.11984049306248012 10.5188880346 18.83290445780476 SDSS other
000109.34+012640.5 0.7247858 8.551872666585485 0.07625952913210397 11.3990614269 18.474561590687756 BOSS eboss_core
000111.19-002011.5 0.517 8.400822322996786 0.07169864606929183 10.6817790843 18.370624862005457 BOSS other
000115.16+025130.2 0.7829658 8.23429402728001 0.2698600360746628 10.959385774 20.701673238381073 BOSS eboss_core
000119.38+014225.8 0.6436454 8.186581895271596 0.09397114512437696 10.9389466746 20.15466436224701 BOSS eboss_core
000123.92+012004.5 0.721 8.015059159156898 0.2654442374619921 10.4598014975 21.172363333345636 BOSS boss_core
000204.39+004700.6 0.7532155 7.967890367265738 0.26500338126558043 10.7179519513 20.97409059810984 BOSS other
000208.83-001742.6 0.6521 7.921820540863779 0.2545916974073115 11.2012504856 18.925310615616652 SDSS ugri
000219.11+002232.9 0.5467 8.549411457475738 0.0988261209424557 10.7823740906 19.289023659830598 SDSS other
