# id  z  ra  dec  fix_sersic_n  sersic_n_fitted  sersic_re_fitted  sersic_n_corrected  sersic_re_corrected host_mag_g host_mag_r host_mag_i host_mag_z host_mag_y  ps_mag_g ps_mag_r ps_mag_i ps_mag_z ps_mag_y decomposition_chisq  stellar_mass  sed_chisq  logMBH  logMBH_err
000032.72-013122.8 0.646 0.13637246 -1.5230064 false 1.219 0.589 1.235 0.62 24.6299461671 22.116821249 21.1259758015 20.9086512291 19.9199035044 20.3969941411 20.4121580604 20.4969719939 20.5587319928 21.7129639803 1.07 11.1969989949 2.09767997398 8.50439328576 0.350864797926
000038.16+020144.5 0.982 0.15901859 2.0290491 true 7.0 3.001 2.0 5.0 26.4030035932 25.6180253745 24.4130279219 24.5892330442 23.5293472486 21.7772605168 21.4051106992 21.497367925 21.4539566709 21.2078786597 1.04 8.88352100454 3.88507186913 7.8160080365 0.240324687767
000048.17+013313.6 0.664 0.20074371 1.5538027 false 4.87 0.512 5.528 0.504 21.828663395 21.260796423 20.0365205726 19.4513140406 19.1665216227 18.9995658949 19.1765310373 19.2489176815 19.7082454488 19.7590648061 1.2 11.4154704345 0.836735062212 9.33842659201 0.0735782742051
000053.06-001314.4 0.978 0.22111402 -0.22068606 false 1.421 0.75 1.475 0.961 25.2556193146 23.4877447398 22.6919151179 22.0639856142 21.8962024825 21.3394020872 21.0008892347 21.2732054772 20.9657282156 20.7134944948 2.63 10.5837125633 0.772675320319 8.04750103084 0.0759296560355
000058.34+002528.2 0.864 0.24311851 0.42452088 true 7.0 1.069 2.0 0.689 24.3170793443 23.3217340427 22.9696304042 22.2553002549 22.6676090761 21.277338204 21.1130391595 21.0416781114 20.7832722025 20.752312335 1.02 9.37574676222 0.684768178237 7.72922172542 0.0893437726008
000102.74+012941.9 0.726 0.26145541 1.4949733 true 6.997 0.705 2.0 0.666 23.0152902047 22.0927750315 20.8538813174 20.5786186519 20.6817954741 20.1570860053 20.0716818321 20.0102200494 19.9374771231 19.9396544876 1.26 10.6128982919 0.233460587133 7.79478014206 0.22012431507
000102.74+023503.2 0.765 0.26145162 2.5842281 false 5.906 0.389 5.553 0.661 24.5502189742 23.0496841865 22.2301958016 22.1383492456 21.7648883479 22.2990952005 22.1028022547 22.3809295595 21.3872860847 22.4367431049 1.0 10.2701800638 0.760252511798 6.97727363471 1.56293001082
000103.64-011522.4 0.999 0.26519816 -1.2562403 true 0.3 0.1 0.7 0.128 inf 26.0064536441 inf 20.3524569462 21.8403161376 20.4965994657 20.1472471211 20.1639285972 21.0247916559 19.9690721189 0.91 11.3748366913 18.789253678 8.00428127885 0.140257674853
000104.46+024349.3 0.896 0.26861 2.7303832 false 0.667 0.535 0.649 0.56 24.394447494 23.5809580197 22.7553580377 22.16919617 22.066487564 21.2826356757 21.2091094662 21.2625235247 21.1284250617 21.3464145672 1.03 10.2914402821 0.0743258037927 8.36845763582 0.136631005633
000104.52+002753.7 0.551 0.26886193 0.46498224 false 3.618 0.599 4.545 0.719 23.4677991038 22.6997878836 21.798352626 21.5379734186 21.4196579229 21.6049611972 21.6765084695 21.4048721904 21.3529041431 20.8343290382 1.0 10.0416971591 0.135054922325 8.0363021848 0.195312204921
000109.12-004121.6 0.417 0.28809878 -0.68930595 false 0.99 0.763 1.002 0.766 20.5382336352 19.656901317 19.2521499353 18.9570003774 18.8075583055 19.3324484665 19.4043350347 19.3928055025 18.9876160739 19.0788446858 4.12 10.5188880346 0.00586139652886 7.77166422607 0.119840493062
000109.34+012640.5 0.725 0.2889364 1.4445904 true 7.0 3.682 2.0 1.669 21.7743989683 21.3671822299 20.044822224 19.3610009311 19.2787472571 18.5684761306 18.5335568591 18.6579229325 18.7113793776 18.8703231122 1.81 11.3990614269 1.15169886668 8.55187266659 0.0762595291321
000111.19-002011.5 0.517 0.29666192 -0.33653911 true 7.0 0.241 2.0 0.485 20.3423739754 20.0654461548 19.1937885848 19.2242994817 18.8504009428 19.1613112568 19.0017113728 19.1727694961 19.0600433203 18.2288046519 1.72 10.6817790843 0.331341321264 8.400822323 0.0716986460693
000115.16+025130.2 0.783 0.31318639 2.8584152 false 2.199 0.674 2.423 0.707 23.8996881746 22.2766756985 21.1933923948 20.7732852239 20.4142452382 22.0575325849 21.8857637168 21.7619632573 21.5923501295 21.8726689396 1.06 10.959385774 0.150515029345 8.23429402728 0.269860036075
000119.38+014225.8 0.644 0.33078765 1.7071826 false 1.531 1.047 1.535 1.078 22.2005533072 21.1713001623 20.3315964637 19.9549832225 19.7839550984 20.1676130921 20.2466154826 20.0455631101 20.0575500686 19.9572274462 1.62 10.9389466746 0.0197016151138 8.18658189527 0.0939711451244
000120.76+021950.5 0.97 0.33652751 2.3307151 false 3.264 0.976 1.982 2.37 inf inf 24.8062836798 23.7391507378 22.6640006437 21.8468590022 21.3183251906 21.3335447591 21.0003788943 20.8288658119 1.0 10.7116590623 2.19243787713 7.25774182024 4.09964267583
000123.92+012004.5 0.721 0.34966684 1.3346066 false 2.708 0.269 3.711 0.233 24.3495779701 23.2962501067 22.2831388512 21.7124556593 21.5694124348 21.459235489 21.4383825127 21.5665098046 21.9261246057 21.7189064567 1.02 10.4598014975 0.0752739703986 8.01505915916 0.265444237462
000127.11+002620.5 0.943 0.36297219 0.43905265 false 2.737 0.586 3.568 0.654 24.0319740009 23.2545338702 22.1696530443 21.4955720834 21.2543632724 22.5713804062 22.3898482511 22.6060924175 22.7785055623 22.3103798228 0.98 10.75967442 0.0347897668398 7.97589680163 0.39016840353
000129.67+010901.5 0.959 0.37364453 1.1504862 false 1.803 0.223 2.262 0.188 26.0508299149 23.4115837335 22.4794219124 21.819209788 21.6672390085 22.0371975794 22.0266536001 22.0530655392 22.1890820747 21.8237970623 1.0 10.7964764174 0.938375482173 8.12015678916 0.395137842099
000129.82+004631.2 0.99 0.37425284 0.77534826 false 0.609 0.391 0.705 0.392 23.1695159071 22.89126961 22.0328356335 21.4713909887 21.2454832804 22.8966618182 22.2186876324 22.3568949775 22.2708358392 21.9563940359 1.04 10.5151718724 0.123581108914 8.0588388057 0.196099599071
000130.19+014009.2 0.723 0.375802 1.669229 true 6.927 0.832 2.0 0.912 22.5841166234 21.6062674165 21.3639259025 21.115156555 21.0328478115 20.5576874774 20.6531227905 20.7593299477 20.4758432603 20.6092920041 1.04 10.120711363 0.0379011301636 7.87540935164 0.671964008902
000141.43+002356.3 0.933 0.42263538 0.39899669 false 5.91 0.564 3.874 1.128 23.3784274089 24.5127780116 22.4320293017 20.9977919611 inf 19.5272824688 19.3737702684 19.486349438 19.6908655951 19.0707935417 1.13 11.5911697974 7.92893704791 8.66417607944 0.115067265968
000150.39+023830.2 0.949 0.4599907 2.6417369 true 0.373 0.729 0.7 0.642 23.9180813146 23.7571860962 23.2711405521 22.5278828298 22.2285864092 19.7077168298 19.5262731167 19.5453753662 19.5723139239 19.2436730589 2.62 9.99337943825 0.529612261279 8.51441362167 0.0687341894799
000153.58+023223.6 0.889 0.47328851 2.5398987 false 0.605 0.567 0.497 0.643 24.0920219953 24.0573136352 22.6364151215 22.1438636841 21.3223369469 20.6229009873 20.4265626607 20.4895915271 20.2370112163 20.5208167347 1.02 10.6771519266 2.57894086479 8.08539259277 0.220146645504
000157.38-004958.6 0.901 0.48912166 -0.83295054 false 1.116 0.323 1.144 0.351 inf 23.92113489 22.6490932763 22.0400439603 21.8565860786 20.9110021737 20.880678891 21.0398515906 20.8771721666 20.8774385429 1.0 10.6439645551 0.00539140218114 8.58442245661 0.112333008012
000159.62-004924.1 0.812 0.49843256 -0.82336346 true 7.0 0.1 2.0 0.216 22.7529659246 22.6800291653 21.0483415091 20.9642675565 20.8337354884 21.292567195 20.6236342213 20.6542381757 20.2289902451 20.2952424201 1.11 10.5702485541 1.02186959139 7.5747238951 0.284000959502
000201.57-000941.4 0.823 0.50655453 -0.16150443 false 2.414 1.729 2.027 3.238 24.4494076402 24.4582521548 23.6416754923 23.579468797 23.631821363 21.0565476636 20.9071343717 20.956399657 20.5885360298 20.8712131883 1.13 8.96193321441 0.166613099518 8.6626403676 0.260246394073
000203.37-003150.8 0.988 0.5140649 -0.53078351 false 1.448 0.995 1.327 1.128 23.5495171357 23.9224735346 22.1262566323 21.5879806642 21.2049826087 23.1702494157 22.2265780175 22.9131520536 22.3028485079 22.2815335239 1.13 10.9734863771 3.43319855316 8.30270437725 0.281875813401
000204.39+004700.6 0.753 0.51828985 0.78353695 false 4.029 0.297 5.016 0.287 22.8575756232 22.0861491328 21.1605130638 20.7748613826 20.5777686894 21.2521364563 21.3683709812 20.8981915857 20.9189317834 21.0301291145 1.08 10.7179519513 0.0111793115704 7.96789036727 0.265003381266
000208.83-001742.6 0.652 0.53683258 -0.29516171 false 0.944 1.022 0.939 1.043 21.9275862071 21.8430751255 20.3054512849 20.010176624 19.7544393806 18.9532379218 18.7887331077 18.8401344106 18.8219380107 18.9343530519 1.55 11.2012504856 2.1627336639 7.92182054086 0.254591697407
000219.11+002232.9 0.547 0.57966023 0.37581687 false 4.046 0.814 4.143 0.823 21.5947171223 21.0678718222 20.1897672508 19.7675316776 19.5752993818 20.7060998066 20.4935126758 20.2607574521 20.3595675631 19.8113672257 1.24 10.7823740906 0.590337531634 8.54941145748 0.0988261209425
000221.31+015720.9 0.782 0.58880476 1.9558102 false 2.252 0.1 2.651 0.076 22.011339812 inf 21.3088110223 21.0024736826 20.4079831751 20.3542630282 20.0090759364 20.5585420061 20.0569133844 21.4992283511 0.96 10.2249133539 1.90020611799 8.11922322398 0.0841769194646
000221.94+001246.9 0.677 0.59145112 0.21304757 false 0.719 0.345 0.565 0.384 inf 23.4722139536 22.9325332306 22.7602237359 22.5956877003 20.6557701621 20.6998659729 20.6684611615 20.8022751737 20.7011190698 1.05 9.39643159359 0.0227181981172 7.36169686393 0.104272844331
000222.47-000443.5 0.811 0.59365394 -0.078728087 true 0.323 0.1 0.7 0.1 19.6150912343 18.1373352537 18.8506086758 20.5886662318 20.5079796389 18.5246121283 inf 18.9876736446 17.9690669965 18.0944853053 13.57 9.17410453409 19.7438829124 8.7975697849 0.141712343113
000223.35-011041.0 0.94 0.59731407 -1.1780677 false 2.11 0.267 2.453 0.261 26.4688650974 24.3080349162 22.9110393342 22.1876744008 21.9285413705 21.6743747037 21.3658131405 21.6881038325 21.5661384198 21.2531674283 1.05 10.7311598485 0.0118283133712 8.31558842831 0.267502439499
000224.16+001740.2 0.899 0.60066171 0.2945388 false 0.586 0.794 0.55 0.844 24.4845839363 23.4300276891 22.3734303539 21.8796435277 21.7046111002 22.2104191721 22.2153329703 21.9743243312 21.5591350739 21.3966817853 1.05 10.6081987219 0.0426638542638 8.01059255572 0.133554313057
000228.05+010102.6 0.921 0.61690464 1.0173986 false 0.458 4.947 0.247 4.716 23.933242526 23.1541941669 23.149176313 23.2724016106 20.9554575037 19.5797573777 19.4025480039 19.5598039932 19.4837257914 19.5306980707 1.23 8.90795900454 5.43341518786 8.46674519786 0.075739411776
000239.54+015003.7 0.842 0.66478669 1.8343661 false 1.838 0.462 2.006 0.485 23.2463590383 22.6029283569 21.6410579196 21.2994990985 21.1344844286 22.1507901156 22.2870352913 22.3497242083 21.7611438995 21.9371143864 0.93 10.5146535387 0.0484232474458 8.03778064668 0.182698752456
000240.45-004033.1 0.706 0.66858 -0.675907 true 7.0 1.005 2.0 0.58 24.6539508855 23.5717760673 22.606851647 22.1473275941 23.2240061512 20.781994926 20.7577554112 20.5269193604 20.3502522649 20.7573992944 1.01 9.24719743286 4.55637096559 8.13933363705 0.19315470591
