count_i, smass, sfr, m_age, l_age, AV, E(B-V) 
1413 7.521 -2.548 0.014 -0.135 0.470 0.5180
1414 7.319 -2.532 -0.393 -0.719 1.226 0.4502
1415 6.672 -2.153 0.085 -1.242 1.954 0.6717
1416 7.657 -3.542 0.477 0.434 3.948 1.8221
1417 7.444 -2.559 -0.411 -0.544 3.591 1.1162
1418 7.417 -2.826 0.431 0.284 1.228 0.8255
1419 7.258 -3.095 0.438 0.286 1.357 0.8211
142 5.776 -3.604 0.225 -0.264 2.123 1.0470
1420 6.385 -2.209 -0.100 -1.259 0.594 0.1588
1421 6.479 -1.967 -0.207 -1.052 0.460 0.1385
1422 6.713 -1.844 -0.104 -0.632 0.824 0.3635
1423 6.167 -2.744 0.116 -1.148 2.517 0.7281
1424 6.275 -2.339 -0.034 -0.980 1.399 0.5045
1425 6.094 -2.661 0.103 -0.864 0.213 0.0575
1426 6.058 -3.019 0.155 -0.987 1.521 0.4736
1427 6.045 -3.219 0.102 -0.496 0.148 0.2192
1428 6.112 -3.441 0.122 -0.332 0.944 0.5663
1429 6.334 -2.519 0.017 -0.910 2.498 0.7345
143 6.236 -2.401 0.038 -0.586 0.324 0.2285
1430 5.324 -4.090 0.269 -0.176 3.586 1.6124
1431 6.153 -2.378 -0.058 -0.767 0.228 0.1776
1432 6.808 -2.921 0.280 -0.343 2.299 0.9096
1433 6.217 -2.343 -0.068 -1.000 0.241 0.0941
1434 6.051 -2.816 0.093 -0.713 0.258 0.1914
1435 6.635 -3.207 0.364 -0.005 2.213 1.0895
1436 6.580 -2.381 0.176 -0.744 3.092 1.1933
1437 6.493 -1.903 -0.207 -0.858 0.420 0.2193
1438 6.633 -1.978 0.020 -1.006 2.998 0.9312
1439 6.795 -1.976 -0.168 -0.726 0.868 0.3787
144 6.310 -2.873 -0.030 -0.496 0.371 0.2338
1440 7.302 -2.915 0.055 -0.118 3.562 1.4510
1441 7.043 -2.712 -0.244 -0.507 0.978 0.4026
1442 7.440 -3.045 0.445 0.327 1.405 0.8795
1443 7.116 -1.243 -0.367 -0.929 2.468 0.7574
1444 6.668 -1.943 -0.135 -1.270 0.568 0.1479
1445 7.656 -2.999 0.436 0.320 1.269 0.7884
1446 7.214 -1.183 -0.341 -0.821 1.240 0.4349
1447 8.092 -3.185 0.465 0.422 3.877 1.7394
1448 8.184 -2.944 0.458 0.425 3.416 1.6083
1449 7.738 -1.660 -0.049 -0.500 1.347 0.6129
145 5.830 -3.113 0.170 -0.944 0.529 0.2112
1450 8.100 -3.295 0.464 0.425 0.490 0.8072
1451 8.128 -2.985 0.076 0.004 1.410 0.8390
1452 8.195 -2.921 0.024 -0.038 1.212 0.7621
1453 8.344 -2.340 -0.017 -0.091 1.000 0.7192
1454 8.391 -0.340 0.180 -0.407 1.648 0.5978
1455 8.760 -2.737 -0.012 -0.062 1.517 0.8454
1456 9.100 -2.487 0.473 0.433 1.008 0.9380
1457 9.130 -1.895 0.031 -0.066 1.676 0.8942
1458 9.107 -1.867 -0.003 -0.050 1.821 0.9246
1459 8.854 -2.123 -0.415 -0.503 2.597 0.8405
146 6.395 -3.111 0.098 -0.270 2.439 0.9535
1460 8.687 -2.235 0.039 -0.044 1.737 0.9152
1461 8.360 -0.830 -0.373 -0.562 2.084 0.7025
1462 8.383 -2.524 0.053 -0.005 1.942 0.9701
1463 7.740 -0.517 -0.751 -0.945 1.716 0.5508
1464 8.192 -2.648 0.467 0.382 1.290 0.8898
1465 7.926 -2.808 0.065 -0.038 0.935 0.6882
1466 7.804 -1.802 -0.190 -0.402 1.844 0.6938
1467 7.814 -2.789 0.465 0.357 0.750 0.7048
1468 7.839 -2.895 0.451 0.391 1.524 0.9837
1469 6.611 -2.240 0.063 -1.325 0.933 0.2980
147 6.687 -3.288 0.417 0.182 2.509 1.1390
1470 7.585 -3.076 0.467 0.372 0.568 0.7468
1471 7.387 -3.494 0.117 0.031 0.748 0.6594
1472 6.560 -1.948 -0.067 -1.134 1.466 0.4631
1473 6.905 -1.611 -0.137 -1.155 3.150 0.8298
1474 6.729 -2.040 0.072 -0.673 0.526 0.2731
1475 6.363 -2.564 0.150 -0.967 0.495 0.1231
1476 6.442 -2.379 0.123 -0.816 0.657 0.2251
1477 6.451 -1.934 -0.234 -0.780 0.222 0.1678
1478 5.856 -3.090 0.095 -1.188 0.418 0.1527
1479 7.019 -3.163 0.439 0.273 1.800 0.9648
148 5.816 -3.371 0.205 -0.440 0.183 -0.0366
1480 6.269 -2.667 0.015 -1.195 2.636 0.7578
1481 6.103 -2.700 0.033 -0.769 0.129 0.0405
1482 6.049 -2.579 -0.097 -0.854 0.439 0.2120
1483 6.045 -2.679 0.069 -0.955 0.286 0.1032
1484 6.203 -2.434 -0.005 -1.232 3.711 0.9982
1485 5.201 -4.258 0.302 -0.130 3.996 1.9961
1486 5.998 -2.633 -0.002 -1.000 0.272 0.0724
1487 6.120 -2.663 0.117 -0.965 0.188 0.0829
1488 6.245 -2.356 -0.040 -1.051 0.974 0.3106
1489 6.096 -2.725 0.099 -1.112 0.328 0.1266
149 5.862 -3.005 0.129 -0.732 0.362 0.2008
1490 5.746 -3.266 0.208 -1.008 3.886 1.0905
1491 6.410 -3.618 0.422 0.210 3.952 1.6303
1492 6.530 -2.269 0.190 -0.858 0.402 0.1639
1493 6.327 -2.656 0.071 -1.176 1.029 0.3330
1494 6.698 -2.343 -0.266 -1.108 1.618 0.4848
1495 6.395 -2.206 -0.079 -1.195 0.355 0.1217
1496 6.729 -1.702 -0.198 -0.830 0.240 0.1678
1497 7.248 -2.080 0.038 -0.395 1.818 0.6977
1498 7.319 -3.061 0.106 -0.017 1.003 0.6804
1499 7.852 -2.914 0.462 0.365 3.407 1.5455
15 6.435 -2.775 0.208 -0.369 2.005 0.8432
150 6.086 -3.302 0.001 -0.445 0.504 0.3067
1500 7.727 -2.960 0.083 -0.014 3.180 1.3159
1501 7.439 -2.867 -0.102 -0.405 0.911 0.4239
1502 7.644 -2.141 0.428 0.082 0.912 0.5245
1503 7.332 -1.047 -0.193 -0.783 0.933 0.3926
1504 7.857 -3.329 0.320 0.208 0.841 0.6856
1505 8.098 -2.469 0.457 0.370 0.867 0.8051
1506 8.025 -2.673 0.077 -0.037 0.617 0.6141
1507 8.111 -1.611 0.048 -0.138 0.627 0.5200
1508 8.332 -2.359 0.070 -0.029 0.865 0.6435
1509 8.111 -0.177 -0.734 -0.900 1.366 0.4720
151 6.311 -2.715 0.133 -0.685 1.263 0.3493
1510 8.662 -2.197 0.010 -0.048 0.867 0.6605
1511 8.873 -2.185 0.051 -0.018 0.821 0.6666
1512 8.939 -2.080 0.035 -0.042 0.565 0.5793
1513 8.810 -1.901 -0.410 -0.497 1.251 0.4749
1514 8.805 -2.511 0.327 0.225 0.564 0.6621
1515 8.551 -1.574 0.004 -0.107 0.953 0.6545
1516 8.319 -0.917 0.030 -0.226 1.263 0.6359
1517 8.296 -2.583 0.075 -0.015 1.503 0.8496
1518 8.096 -2.491 -0.426 -0.510 2.186 0.7193
1519 7.857 -0.865 -0.142 -0.515 1.674 0.6626
152 6.191 -2.686 0.234 -0.716 0.231 0.1587
1520 7.287 -1.068 -0.492 -1.139 0.892 0.3173
1521 7.914 -2.860 0.462 0.385 0.716 0.7718
1522 6.710 -1.906 -0.201 -1.615 2.779 0.8487
1523 7.713 -3.365 0.453 0.374 0.665 0.7188
1524 7.564 -1.568 0.368 -0.378 2.372 0.8177
1525 6.604 -1.801 -0.342 -1.346 0.297 0.0485
1526 7.440 -3.130 0.083 -0.034 1.159 0.7131
1527 7.392 -3.006 0.448 0.322 0.648 0.6553
1528 6.627 -1.819 -0.377 -1.244 2.104 0.5546
1529 6.632 -1.727 -0.308 -0.898 0.657 0.2869
153 5.997 -3.418 0.131 -0.365 1.640 0.8786
1530 6.908 -2.958 -0.004 -0.323 0.523 0.3436
1531 6.758 -2.235 0.107 -0.490 0.407 0.2760
1532 6.663 -3.156 -0.178 -0.495 0.206 0.1760
1533 6.473 -2.101 -0.100 -1.069 1.939 0.5287
1534 6.398 -2.154 -0.060 -0.796 0.562 0.2640
1535 6.095 -2.580 -0.015 -1.100 0.358 0.1127
1536 6.259 -3.468 0.007 -0.389 0.429 0.2996
1537 6.815 -3.174 -0.191 -0.428 2.345 0.7902
1538 6.630 -3.379 0.051 -0.186 0.915 0.5507
1539 5.962 -2.855 0.104 -0.774 0.875 0.3091
154 5.949 -2.978 0.213 -0.657 0.230 0.1557
1540 6.196 -2.916 0.223 -0.965 3.689 1.0742
1541 6.984 -3.835 0.464 0.400 3.966 1.7669
1542 5.999 -2.630 -0.009 -1.015 0.144 0.0789
1543 6.468 -2.239 0.059 -0.531 0.397 0.2907
1544 6.338 -2.845 0.340 -0.634 0.647 0.3034
1545 7.147 -3.312 0.081 -0.038 3.348 1.3645
1546 6.268 -2.418 0.014 -1.036 0.534 0.1782
1547 6.952 -3.178 0.108 -0.057 0.518 0.4856
1548 6.372 -2.162 -0.170 -1.193 0.233 0.0604
1549 6.600 -1.800 -0.269 -0.783 0.607 0.2928
155 6.064 -2.940 0.143 -1.048 1.225 0.4077
1550 7.415 -3.211 0.439 0.322 1.988 1.0532
1551 7.574 -3.119 0.450 0.359 3.732 1.6843
1552 7.104 -2.365 0.384 -0.357 1.568 0.7063
1553 7.387 -3.101 0.440 0.297 0.950 0.7123
1554 7.353 -3.177 0.169 0.026 0.635 0.6122
1555 7.522 -2.562 0.427 0.222 1.002 0.6212
1556 7.653 -2.742 0.451 0.332 1.208 0.7998
1557 7.529 -3.293 -0.305 -0.429 1.433 0.5439
1558 7.511 -2.230 0.410 -0.329 0.881 0.4641
1559 7.932 -2.970 0.434 0.331 0.858 0.7245
156 5.521 -3.755 0.224 -0.370 0.129 0.2081
1560 7.567 -0.898 -0.162 -0.910 1.562 0.5099
1561 8.015 -2.492 0.068 -0.021 0.907 0.6578
1562 8.133 -2.958 0.063 -0.001 0.642 0.6154
1563 8.263 -2.382 0.044 -0.049 0.676 0.5969
1564 8.400 -1.637 0.024 -0.097 0.667 0.5614
1565 8.666 -2.909 0.385 0.312 0.624 0.6495
1566 8.683 -2.246 0.020 -0.036 0.577 0.5864
1567 8.759 -2.087 0.028 -0.031 0.577 0.5751
1568 8.733 -2.023 0.038 -0.074 0.668 0.5943
1569 8.512 -2.415 -0.379 -0.464 1.080 0.4345
157 6.699 -3.195 0.416 0.083 2.740 1.2180
1570 8.412 -2.539 -0.035 -0.129 0.398 0.4735
1571 8.283 -2.555 0.090 0.009 0.527 0.5621
1572 8.259 -2.932 0.384 0.320 0.510 0.6776
1573 8.201 -2.620 0.457 0.397 0.858 0.8360
1574 7.989 -2.821 0.064 -0.014 1.186 0.7557
1575 7.894 -2.738 0.052 -0.048 1.443 0.8073
1576 8.218 -3.261 0.476 0.445 3.883 1.7773
1577 7.343 -1.144 -0.374 -0.779 1.283 0.4758
1578 7.427 -0.858 -0.656 -0.910 3.105 0.9627
1579 6.626 -1.859 -0.308 -1.386 0.451 0.1119
158 6.162 -3.610 0.043 -0.325 0.184 0.2477
1580 7.327 -1.887 0.359 -0.285 2.294 0.8549
1581 6.812 -1.518 -0.421 -0.972 0.534 0.2315
1582 6.728 -1.768 -0.266 -1.163 1.633 0.4287
1583 6.697 -1.704 -0.315 -1.240 1.754 0.4802
1584 6.627 -2.430 0.040 -1.111 3.303 1.0233
1585 6.283 -2.388 -0.092 -1.246 0.417 0.1069
1586 6.416 -2.251 0.027 -1.049 0.420 0.1290
1587 6.435 -3.344 -0.065 -0.436 0.702 0.4609
1588 6.376 -2.616 -0.119 -0.728 0.262 0.1934
1589 6.472 -2.078 -0.034 -0.995 2.322 0.7580
159 5.724 -3.552 0.212 -0.345 1.907 0.9924
1590 6.496 -2.856 0.283 -0.368 1.100 0.5036
1591 6.122 -2.816 0.057 -0.985 0.663 0.2496
1592 6.301 -2.846 -0.000 -0.649 0.437 0.2407
1593 5.457 -3.861 0.261 -0.279 2.112 1.0635
1594 5.647 -3.735 0.257 -0.454 3.818 1.1781
1595 6.240 -2.924 0.149 -0.648 1.982 0.7082
1596 6.482 -2.528 -0.038 -0.686 1.728 0.6330
1597 5.915 -2.923 0.124 -0.811 0.265 0.1386
1598 5.986 -2.703 -0.010 -1.202 0.451 0.1396
1599 6.508 -2.247 0.143 -0.895 2.734 0.8158
16 5.672 -3.761 0.204 -0.281 0.678 0.4119
160 5.521 -3.839 0.271 -0.266 1.035 0.6359
1600 6.428 -2.641 -0.181 -1.100 3.544 0.9761
1601 6.849 -3.211 0.022 -0.137 1.153 0.6761
1602 5.972 -2.844 0.155 -1.323 0.337 0.0901
1603 7.500 -3.009 0.448 0.340 3.199 1.4284
1604 7.102 -2.930 0.396 0.159 2.277 1.0356
1605 6.447 -2.124 -0.054 -1.115 0.580 0.1419
1606 7.479 -2.665 0.446 0.048 3.185 1.3370
1607 6.927 -1.591 -0.281 -0.721 0.741 0.3464
1608 7.367 -3.093 0.396 0.265 0.920 0.6689
1609 6.940 -1.440 -0.285 -0.772 0.784 0.3213
161 6.581 -3.416 0.052 -0.210 2.397 0.9161
1610 6.940 -1.424 -0.451 -0.960 0.599 0.2713
1611 7.509 -2.380 -0.343 -0.515 2.079 0.7175
1612 7.574 -2.707 0.051 -0.072 0.931 0.6211
1613 7.660 -2.978 0.062 -0.056 0.607 0.6039
1614 7.978 -2.901 0.458 0.403 1.268 0.9098
1615 7.912 -3.118 0.040 -0.023 1.182 0.7383
1616 7.509 -1.101 0.029 -1.055 1.313 0.3704
1617 8.072 -2.609 0.039 -0.027 0.736 0.5954
1618 8.208 -2.534 0.086 -0.020 0.693 0.5959
1619 8.302 -2.557 0.082 -0.020 0.444 0.5674
162 6.222 -2.497 0.087 -0.985 3.701 1.0272
1620 8.421 -2.513 0.041 -0.025 0.649 0.5968
1621 8.514 -2.382 0.054 -0.003 0.637 0.6036
1622 8.531 -2.584 0.012 -0.056 0.510 0.5543
1623 8.421 -2.341 -0.415 -0.493 1.132 0.4533
1624 8.441 -2.189 0.036 -0.055 0.551 0.5639
1625 8.242 -2.422 -0.306 -0.433 1.062 0.4285
1626 8.141 -1.716 0.008 -0.170 0.441 0.4576
1627 7.963 -2.863 -0.093 -0.362 0.649 0.3376
1628 8.010 -3.013 0.053 -0.020 1.110 0.7191
1629 7.893 -2.900 0.091 0.016 0.944 0.6941
163 6.139 -3.190 0.249 -0.667 3.549 1.0571
1630 7.432 -0.882 -0.388 -0.810 1.327 0.4674
1631 7.189 -1.152 -0.412 -0.951 0.661 0.2836
1632 7.767 -2.793 0.454 0.363 1.169 0.8259
1633 7.143 -1.208 -0.465 -0.836 1.225 0.4472
1634 7.777 -3.267 0.078 -0.006 3.743 1.4744
1635 7.413 -3.066 0.103 -0.024 1.130 0.7056
1636 6.976 -1.436 -0.495 -1.278 3.298 0.8597
1637 7.014 -2.705 -0.242 -0.472 0.485 0.2726
1638 7.078 -2.132 0.324 -0.354 1.164 0.4811
1639 7.269 -3.040 0.445 0.287 1.780 0.9675
164 5.595 -3.803 0.286 -0.281 3.723 1.1866
1640 6.632 -2.291 0.104 -0.743 2.173 0.8299
1641 6.693 -2.411 -0.208 -0.553 0.461 0.2493
1642 6.539 -2.029 -0.000 -0.637 1.291 0.5017
1643 6.593 -3.310 0.342 -0.064 1.426 0.7627
1644 6.929 -3.005 0.429 0.109 1.537 0.8012
1645 5.935 -3.081 0.167 -0.960 2.082 0.6537
1646 5.954 -3.143 0.180 -0.674 3.738 1.1786
1647 5.858 -3.337 0.194 -0.432 0.340 0.1078
1648 5.418 -3.936 0.244 -0.252 0.229 0.0446
1649 6.096 -2.912 0.076 -0.600 0.863 0.4326
165 6.006 -3.562 0.120 -0.321 0.825 0.4735
1650 6.276 -2.895 0.050 -0.587 2.267 0.7611
1651 5.770 -3.213 0.221 -1.020 1.106 0.3463
1652 5.732 -3.153 0.188 -1.190 3.918 1.0725
1653 6.474 -2.553 0.187 -0.553 1.315 0.5719
1654 6.587 -1.862 -0.170 -0.794 2.341 0.7363
1655 6.434 -2.115 -0.020 -1.069 2.978 0.8463
1656 5.922 -2.757 0.011 -1.470 3.926 1.0517
1657 7.278 -3.276 0.450 0.337 2.172 1.1483
1658 6.089 -2.709 0.059 -1.280 0.282 0.0643
1659 6.961 -3.279 0.097 -0.085 1.633 0.8750
166 5.318 -4.019 0.262 -0.254 0.192 0.0678
1660 6.275 -2.401 -0.172 -0.980 0.249 0.1022
1661 7.216 -3.215 0.057 -0.101 2.210 1.0278
1662 6.770 -1.658 -0.250 -1.017 0.997 0.3228
1663 6.562 -2.630 0.233 -0.932 1.751 0.7141
1664 7.438 -2.935 0.394 0.075 1.386 0.7473
1665 7.655 -3.160 0.463 0.378 1.337 0.9325
1666 6.987 -1.315 -0.503 -0.939 0.554 0.2414
1667 7.669 -3.113 0.078 0.023 1.195 0.7626
1668 7.928 -2.736 0.454 0.375 2.294 1.2095
1669 6.781 -2.043 0.015 -1.391 1.193 0.3825
167 5.220 -4.221 0.293 -0.143 3.984 1.3229
1670 7.868 -2.798 0.013 -0.039 1.065 0.7013
1671 7.785 -2.391 -0.286 -0.444 0.977 0.4071
1672 7.994 -2.702 0.059 -0.034 0.642 0.5884
1673 8.098 -3.130 0.123 0.042 0.449 0.5788
1674 8.198 -2.261 0.043 -0.049 0.804 0.6376
1675 8.255 -2.383 0.035 -0.039 0.739 0.6175
1676 8.304 -2.339 0.053 -0.038 0.499 0.5710
1677 8.288 -2.456 -0.396 -0.490 1.283 0.5038
1678 8.331 -2.477 0.072 -0.004 0.451 0.5559
1679 8.305 -2.763 0.072 0.003 0.616 0.6062
168 5.690 -3.641 0.182 -0.317 1.038 0.4319
1680 8.201 -2.142 0.033 -0.108 1.028 0.6707
1681 8.083 -2.591 -0.407 -0.514 1.478 0.5393
1682 7.993 -2.480 0.051 -0.036 0.725 0.5982
1683 7.567 -1.022 0.023 -0.708 0.871 0.3665
1684 7.430 -0.879 -0.553 -0.895 1.259 0.4527
1685 7.205 -1.121 -0.453 -0.972 0.660 0.2625
1686 7.224 -1.137 -0.420 -1.063 1.636 0.5149
1687 7.790 -3.152 0.464 0.395 1.032 0.8479
1688 7.082 -1.273 -0.376 -0.820 0.885 0.3534
1689 6.843 -1.604 -0.158 -1.121 0.831 0.2463
169 6.416 -3.093 0.297 -0.294 3.049 1.1223
1690 6.696 -1.874 0.018 -1.152 0.656 0.1675
1691 7.397 -3.435 0.426 0.337 0.668 0.6712
1692 6.705 -2.495 0.296 -0.917 2.117 0.6593
1693 6.135 -2.661 0.083 -1.244 0.282 0.0762
1694 6.591 -1.861 -0.150 -0.755 0.564 0.2861
1695 6.233 -2.808 0.123 -1.110 0.364 0.1123
1696 6.989 -3.099 0.417 0.229 1.425 0.7711
1697 6.141 -2.674 0.112 -1.298 3.624 0.9989
1698 6.189 -2.421 0.024 -0.623 0.133 0.1792
1699 6.144 -2.659 -0.111 -0.890 0.197 0.1208
17 6.148 -3.469 -0.094 -0.470 0.219 0.2198
170 5.866 -3.405 0.217 -0.321 1.800 0.6900
1700 6.630 -2.535 0.073 -0.490 3.523 1.1229
1701 6.001 -3.049 0.129 -0.873 0.651 0.2731
1702 5.594 -3.816 0.224 -0.351 3.814 1.2071
1703 5.667 -3.449 0.133 -0.506 0.299 0.2486
1704 6.137 -2.841 0.161 -0.785 0.981 0.3700
1705 6.541 -3.555 0.241 -0.000 0.697 0.5685
1706 6.005 -2.763 0.122 -0.811 0.209 0.0729
1707 6.165 -3.250 0.199 -0.297 2.917 1.2501
1708 6.068 -2.637 -0.056 -0.912 0.118 0.1250
1709 6.424 -2.085 -0.165 -1.107 2.052 0.5658
171 6.457 -2.830 0.048 -0.299 2.977 1.0123
1710 6.055 -2.946 0.127 -1.055 0.368 0.1504
1711 6.631 -2.507 0.075 -0.531 1.529 0.6064
1712 6.486 -3.065 -0.210 -0.802 0.464 0.2509
1713 6.480 -2.246 -0.086 -1.123 2.204 0.6213
1714 6.577 -2.466 0.291 -0.514 1.109 0.4204
1715 6.482 -2.375 0.059 -0.880 0.182 0.0789
1716 6.548 -1.985 -0.067 -1.152 0.803 0.2022
1717 6.602 -1.834 -0.156 -0.982 0.331 0.1523
1718 7.297 -3.231 0.386 0.241 0.829 0.5925
1719 6.865 -1.494 -0.368 -0.838 0.575 0.2586
172 5.810 -3.487 0.239 -0.371 1.096 0.5524
1720 7.468 -3.028 0.166 0.038 1.110 0.6909
1721 7.918 -2.801 0.449 0.371 3.552 1.5821
1722 7.639 -3.078 0.382 0.278 0.626 0.6414
1723 7.271 -1.350 -0.278 -0.705 0.641 0.2881
1724 7.668 -2.730 0.015 -0.093 0.833 0.6215
1725 7.766 -3.047 0.039 -0.053 0.691 0.5926
1726 7.859 -2.517 0.047 -0.067 0.947 0.6838
1727 7.872 -1.535 0.007 -0.213 0.702 0.4963
1728 7.923 -1.219 -0.019 -0.356 0.978 0.5174
1729 8.067 -2.685 -0.019 -0.158 0.893 0.5438
173 5.848 -3.537 0.124 -0.342 0.363 0.0256
1730 8.132 -2.337 -0.002 -0.082 0.749 0.5922
1731 8.198 -2.607 0.049 -0.012 0.924 0.6745
1732 8.127 -2.775 -0.049 -0.189 0.543 0.4793
1733 8.249 -2.629 0.041 -0.042 1.287 0.7796
1734 8.090 -2.896 -0.366 -0.475 1.309 0.4860
1735 8.093 -3.027 0.013 -0.038 0.783 0.6372
1736 8.045 -2.590 0.047 -0.054 1.326 0.7756
1737 8.100 -2.726 0.464 0.380 0.916 0.7613
1738 7.891 -2.818 0.079 0.002 0.862 0.6861
1739 7.764 -3.097 0.063 -0.007 0.647 0.6233
174 5.442 -3.773 0.256 -0.319 0.094 -0.0290
1740 7.567 -3.110 -0.296 -0.431 0.838 0.3705
1741 7.605 -2.990 0.022 -0.085 0.894 0.6480
1742 7.828 -3.024 0.454 0.394 1.955 1.1371
1743 7.092 -2.443 0.396 -0.406 0.748 0.3493
1744 6.902 -2.122 0.260 -0.647 0.498 0.2385
1745 7.658 -3.098 0.453 0.378 2.379 1.2465
1746 7.058 -2.305 0.364 -0.479 1.141 0.4740
1747 7.351 -3.322 0.460 0.341 1.570 0.9363
1748 7.191 -3.084 0.034 -0.098 1.786 0.8869
1749 6.696 -1.725 -0.341 -0.810 1.275 0.4748
175 5.199 -4.264 0.291 -0.131 3.998 1.3345
1750 7.378 -2.924 0.449 0.318 2.039 1.0674
1751 6.591 -1.996 -0.196 -1.117 2.954 0.8511
1752 6.099 -2.802 0.075 -1.215 0.985 0.3013
1753 6.724 -3.471 0.038 -0.253 0.498 0.3262
1754 6.227 -3.319 0.015 -0.391 1.003 0.5538
1755 6.406 -2.419 -0.092 -0.542 0.213 0.2184
1756 6.094 -3.120 0.094 -0.459 0.517 0.1787
1757 6.083 -2.673 0.024 -0.948 0.461 0.2131
1758 5.758 -3.134 0.142 -0.642 0.173 0.1875
1759 5.751 -3.475 0.213 -0.668 3.591 1.0707
176 5.678 -3.349 0.198 -0.526 0.112 0.1964
1760 6.159 -2.973 0.045 -0.482 1.902 0.8312
1761 5.486 -3.873 0.262 -0.264 2.207 1.1528
1762 6.084 -2.747 0.086 -0.798 0.117 0.0892
1763 6.222 -2.576 -0.001 -1.064 0.271 0.1310
1764 6.142 -2.577 -0.022 -1.047 0.313 0.1266
1765 6.209 -2.559 -0.030 -1.032 0.626 0.2418
1766 6.284 -2.471 0.003 -0.860 0.646 0.2890
1767 6.281 -2.414 -0.017 -1.043 0.372 0.1136
1768 6.844 -3.264 0.049 -0.131 0.708 0.5124
1769 7.170 -3.293 0.397 0.239 1.794 0.9138
177 5.295 -4.138 0.282 -0.171 0.155 0.2582
1770 6.574 -2.463 0.121 -1.135 2.990 0.8869
1771 6.653 -1.787 -0.178 -0.738 0.302 0.1863
1772 6.207 -2.537 0.051 -1.402 0.829 0.1816
1773 7.314 -3.309 0.411 0.285 0.736 0.6382
1774 7.405 -2.992 0.412 0.259 1.058 0.7624
1775 6.774 -1.662 -0.137 -0.979 0.490 0.2274
1776 7.182 -1.159 -0.480 -0.838 1.786 0.5984
1777 7.029 -1.665 -0.105 -0.974 0.865 0.2912
1778 6.971 -1.369 -0.407 -1.038 0.599 0.2376
1779 7.883 -2.970 0.445 0.375 1.444 0.9154
178 5.933 -3.594 0.187 -0.314 0.549 0.3013
1780 7.252 -1.145 -0.316 -0.926 0.734 0.2966
1781 7.535 -1.420 0.308 -0.621 0.936 0.3353
1782 7.973 -1.872 0.401 0.202 0.819 0.6020
1783 7.927 -2.754 0.002 -0.089 0.539 0.5481
1784 7.779 -1.207 -0.371 -0.670 0.891 0.3838
1785 7.992 -3.059 -0.049 -0.160 0.521 0.4857
1786 7.679 -0.605 -0.625 -0.861 1.232 0.4367
1787 8.109 -2.903 0.025 -0.030 1.132 0.7199
1788 7.670 -0.620 -0.629 -0.880 1.319 0.4452
1789 7.880 -1.580 -0.401 -0.539 1.124 0.4414
179 5.860 -3.122 0.152 -0.606 0.167 0.1735
1790 8.062 -2.809 0.046 -0.011 1.418 0.8133
1791 7.621 -0.847 -0.483 -0.766 1.143 0.4198
1792 7.814 -1.946 0.037 -0.288 0.718 0.4823
1793 7.695 -1.567 -0.087 -0.306 0.748 0.4889
1794 7.592 -2.051 -0.024 -0.193 0.388 0.4334
1795 7.210 -1.138 -0.378 -0.815 0.628 0.2702
1796 7.723 -2.733 0.456 0.324 1.020 0.7392
1797 7.484 -3.068 0.276 0.118 0.693 0.6024
1798 6.965 -2.330 0.367 -0.511 0.471 0.2039
1799 7.779 -3.454 0.470 0.433 3.891 1.7444
18 5.889 -3.004 0.190 -0.885 0.625 0.2403
180 5.961 -2.953 0.083 -1.192 0.887 0.2802
1800 7.325 -2.258 -0.127 -0.474 2.404 0.8078
1801 6.397 -2.431 0.011 -1.245 0.574 0.1974
1802 6.372 -2.435 0.007 -1.327 2.011 0.5560
1803 7.256 -2.208 0.400 -0.126 2.305 0.9123
1804 7.005 -3.133 0.071 -0.118 0.987 0.5799
1805 6.493 -1.903 -0.275 -0.823 0.274 0.1838
1806 7.338 -3.132 0.451 0.346 2.557 1.2716
1807 6.316 -2.495 0.058 -1.088 2.032 0.5989
1808 6.223 -2.322 -0.001 -0.629 0.127 0.1588
1809 6.653 -3.019 0.314 -0.074 0.582 0.4317
181 5.910 -2.856 0.037 -0.849 0.125 0.1512
1810 6.402 -3.237 0.157 -0.165 1.323 0.7387
1811 6.053 -2.663 0.039 -0.625 0.319 0.2760
1812 5.983 -2.976 0.103 -0.869 3.393 1.0034
1813 6.586 -3.444 0.407 0.137 0.914 0.6275
1814 5.748 -3.475 0.227 -0.586 3.660 1.1215
1815 5.893 -3.054 0.201 -0.627 0.109 0.1208
1816 6.280 -2.752 0.068 -1.045 3.383 0.9642
1817 5.979 -3.095 0.137 -0.835 0.287 0.1609
1818 5.979 -2.958 0.117 -0.939 3.643 1.0287
1819 6.020 -2.678 0.021 -1.024 0.571 0.1599
182 5.889 -3.406 0.080 -0.378 0.556 0.1559
1820 5.983 -2.824 0.022 -0.571 0.076 0.1683
1821 6.260 -2.437 0.026 -0.924 1.382 0.4267
1822 6.607 -1.932 -0.016 -0.639 0.789 0.3416
1823 7.049 -3.629 0.436 0.318 0.906 0.7459
1824 6.471 -2.128 0.064 -1.057 0.792 0.2330
1825 6.733 -1.655 -0.213 -0.806 1.232 0.4268
1826 6.694 -1.717 -0.247 -0.825 0.596 0.2901
1827 6.725 -1.636 -0.310 -0.798 0.445 0.2311
1828 7.196 -2.332 0.269 -0.281 1.192 0.5894
1829 6.823 -1.575 -0.292 -0.776 0.644 0.3035
183 5.953 -2.775 0.057 -0.845 0.152 0.0991
1830 7.549 -2.989 0.061 -0.022 2.528 1.1464
