# id in_final_catalog selection_bit
020454.66-051014.4 n non_uniform
020457.78-033301.9 y boss_core
020459.90-022809.2 y boss_core
020501.50-012034.0 n boss_core
020505.11-012525.4 n boss_core
020506.46-043638.1 y boss_core
020507.19-041457.3 y boss_core
020507.27-041135.6 y boss_core
020509.16-061528.8 y boss_core
020514.77-045639.7 y boss_core
020514.87-010936.4 y boss_core
020515.23-043959.6 y boss_core
020515.82-021407.8 y boss_core
020515.95-035157.9 y boss_core
020516.37-031914.0 n boss_core
020517.22-061431.6 n boss_core
020517.38-051024.0 y boss_core
020520.58-062614.2 y boss_core
020521.49-065532.5 n non_uniform
020522.35-063021.4 n non_uniform
020523.06-022845.9 y boss_core
020532.29-052436.7 n boss_core
020536.33-041711.3 n boss_core
020541.07-032419.5 y boss_core
020542.94-065941.3 n non_uniform
020543.26-051702.4 y boss_core
020543.40-012623.3 y boss_core
020545.04-063657.0 n non_uniform
020547.33-010701.5 n non_uniform
020549.00-023630.0 n boss_core
020549.82-065141.3 y boss_core
020550.44-060659.0 y boss_core
020550.94-065350.0 n non_uniform
020554.21-064609.6 n boss_core
020558.69-065131.3 y boss_core
020559.29-030301.0 n boss_core
020559.66-063736.6 y boss_core
020600.43-043216.4 n boss_core
020600.83-050916.2 y boss_core
020601.42-043806.0 n non_uniform
020605.22-063303.3 y boss_core
020605.28-025959.1 y boss_core
020605.67-023958.5 y boss_core
020607.44-041323.5 y boss_core
020611.14-010712.2 n boss_core
020613.93-062852.3 y boss_core
020619.41-060417.1 y boss_core
020620.25-041319.7 y boss_core
020621.67-060952.7 n boss_core
020622.97-015506.2 y boss_core
020622.99-063229.8 y boss_core
020623.83-005816.6 y boss_core
020624.65-043525.0 n boss_core
020625.17-044032.6 y boss_core
020625.76-033416.2 y boss_core
020626.62-064337.1 y boss_core
020631.49-063603.0 y boss_core
020634.06-042534.5 y boss_core
020634.59-060242.0 n non_uniform
020636.12-060831.5 n non_uniform
020643.66-021455.5 y boss_core
020645.30-012638.0 y boss_core
020653.81-020813.6 y boss_core
020655.09-021207.9 n boss_core
020655.10-064551.6 y boss_core
020655.39-040805.1 n non_uniform
020659.51-042343.3 n non_uniform
020700.73-044705.9 n boss_core
020703.36-062917.2 y boss_core
020709.32-065402.4 n boss_core
020709.83-042501.4 y boss_core
020710.67-025450.3 y boss_core
020711.19-050950.4 n boss_core
020712.20-014327.4 y boss_core
020713.02-040637.1 y boss_core
020714.82-011451.9 y boss_core
020715.59-005746.5 y boss_core
020717.51-045105.9 n boss_core
020718.13-060405.7 y boss_core
020718.49-041629.9 n non_uniform
020718.85-060321.3 y boss_core
020719.48-033600.6 y boss_core
020722.51-041622.6 n boss_core
020723.77-044011.5 n non_uniform
020724.49-012705.0 y boss_core
020724.66-015000.3 n boss_core
020725.28-005145.3 n boss_core
020728.25-045059.4 n non_uniform
020732.47-044210.7 y boss_core
020732.57-015809.3 y boss_core
020734.47-060542.7 n non_uniform
020735.40-012539.7 n boss_core
020737.37-051353.2 n non_uniform
020738.00-030917.0 y boss_core
020739.11-023653.5 n boss_core
020744.06-060955.9 y boss_core
020749.33-060225.2 n non_uniform
020750.24-030449.4 y boss_core
020752.14-015246.6 y boss_core
020752.32-063038.2 y boss_core
020755.39-010058.8 n non_uniform
020757.17-041051.8 n boss_core
020758.63-022251.9 y boss_core
020803.07-021429.3 n boss_core
020804.83-042327.1 n boss_core
020806.39-005816.1 n boss_core
020809.63-053839.1 y boss_core
020809.97-043114.5 y boss_core
020813.09-051327.4 y boss_core
020813.75-043651.5 n non_uniform
020814.04-041945.5 y boss_core
020816.10-042552.0 n boss_core
020819.42-050341.7 n boss_core
020826.43-005604.7 n boss_core
020826.43-032618.2 y boss_core
020832.87-034632.5 n non_uniform
020833.01-031619.0 y boss_core
020836.23-064949.0 n non_uniform
020843.70-041551.5 y boss_core
020844.06-005541.9 n boss_core
020845.34-003425.7 y boss_core
020847.80-031708.2 y boss_core
020849.34-045059.0 y boss_core
020850.78-064841.4 n boss_core
020850.92-050508.0 n non_uniform
020852.34-063403.4 y boss_core
020852.78-014834.9 n boss_core
020854.19-040850.8 y boss_core
020854.45-050226.0 n boss_core
020854.98-040113.7 n boss_core
020901.48-050419.0 n boss_core
020901.69-013530.9 n boss_core
020902.08-045615.7 y boss_core
020908.16-020537.7 y boss_core
020913.99-044903.9 y boss_core
020919.72-042035.4 y boss_core
020920.10-005003.8 n non_uniform
020922.52-004641.1 n non_uniform
020923.94-012037.2 n non_uniform
020924.70-021456.5 y boss_core
020925.45-004230.9 n non_uniform
020928.50-062611.9 y boss_core
020929.83-005602.6 n boss_core
020931.33-013706.3 n boss_core
020931.78-011215.3 y boss_core
020931.81-020911.4 y boss_core
020933.78-031226.2 n boss_core
020934.20-040422.4 y boss_core
020939.82-025945.1 y boss_core
020942.78-042830.3 y boss_core
020945.30-015439.3 n boss_core
020947.49-054740.7 n boss_core
020949.08-054824.5 n boss_core
020949.25-062904.3 y boss_core
020949.41-052110.0 y boss_core
020949.67-030143.7 n boss_core
020951.76-055744.2 n boss_core
020955.67-024601.2 y boss_core
021000.10-015703.8 n boss_core
021003.14-044243.6 y boss_core
021004.22-043500.5 y boss_core
021005.75-021022.1 n boss_core
021006.85-051538.5 n boss_core
021009.39-013659.3 y boss_core
021010.28-035930.9 y boss_core
021015.45-061012.9 y boss_core
021016.88-054328.3 n non_uniform
021017.35-010325.8 n non_uniform
021020.43-034226.1 y boss_core
021021.52-031409.7 n boss_core
021030.17-034951.6 y boss_core
021030.66-060317.2 n boss_core
021031.98-060515.2 y boss_core
021037.14-061614.9 y boss_core
021037.60-033904.8 n boss_core
021044.85-012605.4 n boss_core
021045.41-051847.5 n boss_core
021046.40-054854.0 y boss_core
021051.76-032121.6 y boss_core
021054.08-051351.7 y boss_core
021054.51-010804.8 y boss_core
021059.00-014319.9 n boss_core
021103.17-041425.0 y boss_core
021104.10-050406.3 y boss_core
021104.17-045325.1 y boss_core
021104.74-062023.3 y boss_core
021106.88-054655.0 y boss_core
021107.12-063702.0 y boss_core
021108.13-023626.5 y boss_core
021110.40-021228.7 y boss_core
021110.56-013450.4 y boss_core
021111.38-035135.7 y boss_core
021115.71-070920.5 y boss_core
021117.76-035959.8 n boss_core
021118.91-042519.9 y boss_core
021120.38-054546.9 y boss_core
021121.37-025422.8 n boss_core
021121.46-021748.2 n boss_core
021121.77-020421.5 y boss_core
021122.59-021129.7 y boss_core
021123.20-053316.9 n non_uniform
021130.36-041350.9 y boss_core
021132.20-050837.8 n boss_core
021135.79-030855.5 n boss_core
021138.82-040145.7 n boss_core
021142.69-041059.1 n boss_core
021144.34-033320.4 n boss_core
021144.62-031303.6 y boss_core
021144.94-044551.9 n boss_core
021145.40-030826.7 y boss_core
021157.23-043450.8 y boss_core
021201.81-005730.6 n boss_core
021207.29-031156.2 y boss_core
021209.87-021542.0 n boss_core
021211.46-052914.6 y boss_core
021211.49-011604.6 y boss_core
021213.67-031143.6 y boss_core
021214.11-053658.1 y boss_core
021218.44-041456.4 y boss_core
021227.63-040635.8 y boss_core
021228.77-052437.1 y boss_core
021229.57-032209.5 n boss_core
021232.42-050540.4 n boss_core
021232.71-024459.3 y boss_core
021235.98-053211.6 y boss_core
021238.38-011833.9 y boss_core
021241.94-041253.4 y boss_core
021247.19-023115.5 n boss_core
021250.42-010626.5 y boss_core
021254.47-024148.2 y boss_core
021259.10-043336.8 y boss_core
021259.54-060838.8 y boss_core
021303.34-034801.4 n boss_core
021304.35-054333.3 y boss_core
021305.63-070230.5 n boss_core
021309.12-055142.8 y boss_core
021311.01-045801.0 y boss_core
021317.42-055415.4 y boss_core
021318.31-043602.5 y boss_core
021320.16-050751.1 y boss_core
021323.26-034802.0 y boss_core
021323.60-045208.3 y boss_core
021323.79-052315.5 y boss_core
021324.32-053518.0 y boss_core
021325.81-024812.1 n boss_core
021327.17-010314.8 y boss_core
021329.06-043446.8 y boss_core
021329.76-020024.8 y boss_core
021329.89-052139.1 y boss_core
021330.79-021358.0 n boss_core
021331.35-042849.5 n non_uniform
021334.71-044548.2 n non_uniform
021335.38-043941.3 n non_uniform
021336.36-044145.1 n boss_core
021337.89-042814.7 y boss_core
021339.48-042456.4 n boss_core
021340.14-050149.1 y boss_core
021341.08-041609.3 n boss_core
021342.89-060758.4 y boss_core
021344.87-005908.7 y boss_core
021345.98-041505.5 y boss_core
021346.06-045425.7 y boss_core
021346.54-055201.9 n boss_core
021346.98-025631.0 n boss_core
021348.36-021516.4 n boss_core
021350.92-040819.3 n boss_core
021352.46-024031.8 y boss_core
021358.36-053242.9 y boss_core
021359.12-054436.6 y boss_core
021401.30-051038.9 n boss_core
021402.24-051317.4 n boss_core
021403.11-041600.4 n boss_core
021405.31-055118.3 y boss_core
021406.97-005627.2 n boss_core
021409.90-020447.6 y boss_core
021410.25-033134.5 y boss_core
021413.02-042930.1 y boss_core
021415.53-053606.7 y boss_core
021417.27-022247.9 y boss_core
021418.21-032912.6 n boss_core
021418.69-014632.3 y boss_core
021418.75-013938.9 y boss_core
021418.93-025647.5 n non_uniform
021430.22-063616.7 y boss_core
021433.55-060302.7 y boss_core
021434.47-031241.2 y boss_core
021435.69-030839.4 y boss_core
021437.96-030528.1 y boss_core
021438.69-014726.2 y boss_core
021439.52-034722.4 y boss_core
021443.43-015512.7 y boss_core
021445.63-012208.0 y boss_core
021448.84-040601.7 y boss_core
021448.96-023722.8 y boss_core
021450.21-050819.7 y boss_core
021453.66-042844.8 n non_uniform
021458.25-022438.9 y boss_core
021504.48-044618.9 y boss_core
021506.29-025930.5 n boss_core
021508.19-040513.6 y boss_core
021508.94-061353.2 n boss_core
021512.56-033613.8 n boss_core
021514.28-053321.4 n boss_core
021517.88-055706.5 y boss_core
02152.991-051141.5 y boss_core
021523.52-022019.7 y boss_core
021524.99-045354.0 y boss_core
021526.64-012652.8 n boss_core
021528.69-021224.7 n boss_core
021532.32-060340.6 y boss_core
021535.27-032722.9 y boss_core
021535.93-035612.9 n non_uniform
021541.13-010250.9 n non_uniform
021543.36-020639.4 y boss_core
021544.96-011928.9 n non_uniform
021549.67-010533.0 n non_uniform
021553.57-044620.6 n boss_core
021554.40-033626.4 y boss_core
021554.75-045354.2 n non_uniform
021557.63-045009.6 y boss_core
021557.75-055326.6 y boss_core
021601.47-023040.8 n boss_core
021605.86-034315.2 y boss_core
021606.22-012107.4 y boss_core
021612.58-030624.3 y boss_core
021619.08-034430.5 y boss_core
021620.16-060537.0 y boss_core
021622.34-020131.6 n boss_core
021624.50-042736.5 y boss_core
021624.80-041432.1 n boss_core
021626.53-045308.3 n boss_core
021628.45-040147.0 n boss_core
021632.62-035557.0 y boss_core
021632.96-060113.5 y boss_core
021633.09-043031.2 y boss_core
021634.02-005759.2 n non_uniform
021634.10-042111.1 n non_uniform
021636.02-050141.0 n boss_core
021637.61-053318.6 y boss_core
021637.68-045923.2 y boss_core
021639.71-053147.7 n boss_core
021642.05-045559.6 y boss_core
021643.93-014525.8 y boss_core
021647.54-011341.4 n dr7_core
021650.17-061447.9 y boss_core
021654.39-012010.7 y boss_core
021654.49-035001.4 y boss_core
021654.99-024805.8 y boss_core
021655.16-005944.4 y boss_core
021657.02-012122.5 y boss_core
021657.09-053159.5 y boss_core
021702.14-035645.7 y boss_core
021704.48-025822.1 y boss_core
021705.52-042253.5 y boss_core
021709.85-042609.0 n boss_core
021720.83-025145.8 y boss_core
021721.65-050629.0 y boss_core
021722.62-042215.5 n boss_core
021722.98-010550.0 n boss_core
021725.39-031133.4 y boss_core
021725.62-055137.1 y boss_core
021729.40-031854.9 n boss_core
021731.43-012626.6 n boss_core
021731.93-025639.8 n boss_core
021732.37-024627.0 n boss_core
021738.05-011349.8 n boss_core
021740.09-031520.1 n boss_core
021743.03-043624.9 y boss_core
021748.25-053909.6 y boss_core
021754.43-040357.4 y boss_core
021756.83-035316.6 y boss_core
021758.16-042522.1 n boss_core
021759.53-014904.5 n boss_core
021759.71-034359.9 y boss_core
021808.84-055629.8 y boss_core
021809.24-035848.7 n non_uniform
021809.98-034647.0 n boss_core
021812.54-011402.7 n non_uniform
021812.99-021056.7 y boss_core
021813.28-023156.6 y boss_core
021816.40-030341.1 n non_uniform
021820.49-050426.4 y boss_core
021824.48-022859.4 y boss_core
021831.60-023051.1 n boss_core
021832.06-041345.1 y boss_core
021833.08-060520.7 y boss_core
021834.47-032930.7 y boss_core
021834.48-051357.0 y boss_core
021835.91-053757.9 y boss_core
021838.98-053238.2 y boss_core
021839.30-040821.4 y boss_core
021849.20-030532.8 n boss_core
021849.32-032129.4 y boss_core
021852.67-010731.6 n non_uniform
021856.45-012508.6 y boss_core
021856.94-020433.6 n boss_core
021857.49-011338.9 n non_uniform
021901.54-032740.7 y boss_core
021902.96-062107.4 y boss_core
021905.59-051443.4 n boss_core
021909.24-031622.2 n boss_core
021909.73-032318.4 y boss_core
021910.51-034334.4 y boss_core
021910.59-055114.9 y boss_core
021912.66-052755.7 y boss_core
021922.34-065641.9 y boss_core
021923.29-045148.7 y boss_core
021930.51-055643.0 y boss_core
021933.10-042917.1 y boss_core
021933.75-054920.1 y boss_core
021934.07-052058.2 y boss_core
021936.14-034802.0 y boss_core
021936.57-033358.8 n non_uniform
021938.71-032508.2 y boss_core
021944.36-052053.8 y boss_core
021946.98-055525.1 y boss_core
021950.50-040141.0 y boss_core
021951.70-012909.3 y boss_core
021952.15-040919.9 y boss_core
021955.46-020605.9 n boss_core
022000.22-043947.4 y boss_core
022001.26-034830.0 y boss_core
022003.08-035247.3 y boss_core
022005.58-050928.8 y boss_core
022010.00-005747.4 y boss_core
022010.02-005646.6 y boss_core
022011.63-044020.3 n non_uniform
022013.10-045114.0 y boss_core
022014.34-034559.9 y boss_core
022019.11-031836.5 y boss_core
022020.01-031018.6 y boss_core
022020.13-041006.2 n boss_core
022021.75-014809.3 y boss_core
022022.38-030953.6 y boss_core
022023.69-012522.4 n boss_core
022024.49-040017.2 n non_uniform
022025.14-044453.8 n boss_core
022025.80-064443.3 y boss_core
022029.06-031359.4 y boss_core
022031.09-023952.7 n boss_core
022031.37-055234.0 y boss_core
022032.13-033032.2 y boss_core
022036.74-045128.2 y boss_core
022041.63-032700.4 y boss_core
022047.30-042619.0 n non_uniform
022048.50-014053.3 n boss_core
022050.77-032919.4 y boss_core
022051.13-014022.9 n non_uniform
022053.35-023717.7 y boss_core
022056.70-013633.5 y boss_core
022100.33-042558.0 y boss_core
022100.43-045717.8 n boss_core
022101.53-035906.1 y boss_core
022102.28-042601.3 n non_uniform
022103.07-054519.1 y boss_core
022105.16-035601.0 y boss_core
022106.54-050557.9 y boss_core
022108.81-035944.0 n boss_core
022110.22-045525.5 n non_uniform
022111.26-022919.3 y boss_core
022114.78-050833.1 n boss_core
022115.53-025843.4 y boss_core
022116.34-050819.0 n non_uniform
022120.08-020846.5 n boss_core
022120.82-011607.5 y boss_core
022125.05-055638.0 y boss_core
022128.34-015637.8 n boss_core
022128.58-015713.1 y boss_core
022128.77-055857.7 y boss_core
022130.30-023515.7 n boss_core
022131.97-053853.8 n boss_core
022133.83-054842.8 n boss_core
022134.31-043025.6 n boss_core
022135.37-040312.1 n boss_core
022137.94-021948.6 y boss_core
022140.59-053503.4 y boss_core
022141.67-054123.7 n boss_core
022142.64-052037.8 y boss_core
022142.69-015051.9 y boss_core
022145.27-033354.9 n boss_core
022145.85-011550.6 n non_uniform
022145.92-050218.1 n boss_core
022152.10-043741.4 y boss_core
022152.21-033315.2 n boss_core
022152.93-040546.7 y boss_core
022154.36-015049.7 n boss_core
022201.81-041329.2 n boss_core
022202.31-044845.4 y boss_core
022202.76-050944.5 n boss_core
022203.49-033844.1 y boss_core
022205.99-032346.4 n non_uniform
022206.74-022152.6 y boss_core
022211.88-031727.7 y boss_core
022212.81-030415.5 n boss_core
022213.20-032943.3 y boss_core
022217.95-020841.5 y boss_core
022219.91-051508.0 y boss_core
022222.88-021412.7 y boss_core
022224.29-054309.9 y boss_core
022225.33-014802.6 n boss_core
022226.53-015115.3 n boss_core
022228.40-040152.9 y boss_core
022228.45-030911.4 n boss_core
022230.45-014029.1 y boss_core
022233.14-034508.7 y boss_core
022237.41-034843.2 n boss_core
022240.36-014309.9 y boss_core
022241.02-015233.2 y boss_core
022241.10-044550.4 y boss_core
022244.40-043347.0 y boss_core
022246.24-041450.8 n boss_core
022249.67-051453.2 y boss_core
022250.90-040032.5 n non_uniform
022253.61-042929.2 y boss_core
022255.89-051351.7 n boss_core
022258.90-045852.4 y boss_core
022258.90-055758.1 n non_uniform
022258.94-034459.4 n non_uniform
022303.23-025713.8 y boss_core
022309.20-055319.4 y boss_core
022312.40-011954.8 y boss_core
022317.43-044032.8 n boss_core
022317.71-024805.7 y boss_core
022319.62-044731.0 y boss_core
022320.34-035914.0 y boss_core
022321.09-012559.0 n boss_core
022323.36-031158.2 y boss_core
022324.52-032436.4 y boss_core
022326.46-045706.1 y boss_core
022326.62-023557.9 n boss_core
022329.26-045451.9 y boss_core
022330.17-054758.1 y boss_core
022331.66-013142.7 y boss_core
022333.07-062324.2 n boss_core
022334.49-041102.7 n non_uniform
022334.66-032307.9 y boss_core
022340.16-025534.0 y boss_core
022340.28-031337.2 y boss_core
022340.78-042255.6 n boss_core
022341.09-050548.0 n non_uniform
022343.35-013150.6 n non_uniform
022346.14-012939.3 n boss_core
022347.04-043348.1 n boss_core
022348.51-022110.0 y boss_core
022353.44-023146.0 y boss_core
022353.86-045508.2 n boss_core
022409.47-033431.2 y boss_core
022415.76-052720.0 n non_uniform
022418.40-051035.0 y boss_core
02243.939-031030.3 n boss_core
022430.56-050841.8 y boss_core
022435.81-053645.6 n boss_core
022438.66-051146.6 y boss_core
022438.96-042706.3 y boss_core
022439.73-042401.6 y boss_core
022440.72-043657.8 y boss_core
022441.65-045001.5 n non_uniform
022443.54-040954.5 n boss_core
022459.10-030015.8 y boss_core
022506.43-043621.2 n non_uniform
022507.14-051021.1 y boss_core
022509.30-025808.0 y boss_core
022511.85-022819.9 n boss_core
022523.37-030244.1 y boss_core
022534.59-035114.4 n boss_core
022534.82-042401.6 y boss_core
022535.84-052646.9 y boss_core
022537.16-042132.9 n boss_core
022538.72-051044.9 y boss_core
022540.81-033521.4 y boss_core
022541.33-032623.9 y boss_core
022550.87-030728.1 y boss_core
022551.29-050106.0 y boss_core
022552.18-042248.7 n non_uniform
022557.39-041339.9 y boss_core
022600.86-022039.4 y boss_core
022601.49-024339.7 y boss_core
022608.03-030556.8 y boss_core
022609.73-023122.5 n boss_core
022616.01-030537.0 n boss_core
022617.85-043109.1 n boss_core
022620.72-031724.1 y boss_core
022630.92-065943.6 n boss_core
022636.40-025112.2 y boss_core
022636.87-023211.7 y boss_core
022648.98-042746.6 y boss_core
022651.77-045715.0 y boss_core
022658.02-051606.5 n non_uniform
022701.46-040751.3 n boss_core
022702.38-012302.9 y boss_core
022703.22-052303.1 y boss_core
022704.28-022822.3 n boss_core
022707.43-040439.0 y boss_core
022711.80-045038.0 y boss_core
022711.99-033353.2 y boss_core
022716.12-044539.1 y boss_core
022717.89-051624.0 y boss_core
022726.12-052140.7 y boss_core
022729.47-030124.4 y boss_core
022730.85-022319.8 n non_uniform
022731.97-032121.0 n non_uniform
022734.55-014551.6 n boss_core
022738.94-045832.4 y boss_core
022739.82-034227.4 y boss_core
022741.29-034825.8 n boss_core
022750.45-024450.4 y boss_core
022757.64-021258.7 n boss_core
022757.65-021048.8 y boss_core
022802.11-030303.6 n boss_core
022802.14-040810.5 y boss_core
022802.15-035247.6 y boss_core
022807.09-012603.0 y boss_core
022809.07-041234.9 y boss_core
022813.41-015605.7 y boss_core
022818.37-032909.1 n boss_core
022821.13-070336.4 y boss_core
022824.12-045308.2 n boss_core
022825.79-030244.0 y boss_core
022831.01-012850.1 y boss_core
022832.60-041046.0 y boss_core
022833.52-040141.6 n non_uniform
022842.28-031459.1 y boss_core
022843.71-030410.6 y boss_core
022848.39-013922.0 n boss_core
022850.40-061321.4 n boss_core
022854.00-024904.9 y boss_core
022902.02-033425.8 n boss_core
022913.79-023456.7 y boss_core
022913.93-044218.7 y boss_core
022919.56-050438.5 y boss_core
022942.19-063249.0 y boss_core
022943.98-063739.6 n boss_core
023004.01-023010.1 n boss_core
023016.77-013635.7 n boss_core
023024.15-034107.1 n boss_core
023031.33-024540.0 y boss_core
023037.65-014729.4 y boss_core
023040.54-020555.1 n non_uniform
023042.42-032248.7 n boss_core
023053.85-035702.0 y boss_core
023102.32-014658.2 n boss_core
023108.53-025009.1 y boss_core
023113.61-012748.8 y boss_core
023119.97-020342.2 n boss_core
023120.53-021458.3 y boss_core
023120.70-020021.2 n boss_core
023121.66-040151.2 y boss_core
023122.34-020708.3 y boss_core
023125.28-030827.2 y boss_core
023126.19-061552.6 n boss_core
023129.00-052340.7 n boss_core
023139.72-020412.6 n boss_core
023142.18-033322.7 y boss_core
023150.25-023634.7 n boss_core
023157.22-023507.8 y boss_core
023157.27-012107.4 y boss_core
023214.86-024845.4 n boss_core
023218.54-044119.4 n boss_core
023220.04-014050.7 y boss_core
023231.51-021816.0 n boss_core
023237.97-033425.0 y boss_core
023244.86-035442.5 n non_uniform
023255.56-022523.4 n boss_core
023303.48-015846.3 y boss_core
023307.44-064226.3 n boss_core
023308.19-021400.5 y boss_core
023313.12-033924.0 y boss_core
023315.18-025108.3 y boss_core
023321.87-022332.5 n boss_core
023325.10-022444.5 y boss_core
023325.50-033305.6 n boss_core
023331.05-054550.9 y boss_core
023333.66-024726.5 y boss_core
023344.15-020136.4 y boss_core
023344.40-015042.8 y boss_core
023358.77-014403.1 n boss_core
023400.17-023753.3 y boss_core
023414.20-070857.6 n non_uniform
023419.12-022534.1 n boss_core
023421.31-035646.0 y boss_core
023421.79-013900.0 n boss_core
023424.86-035222.0 n boss_core
023437.79-024308.0 y boss_core
023443.72-024825.0 n boss_core
023446.81-042038.7 y boss_core
023454.83-024703.3 y boss_core
023456.22-024302.8 y boss_core
023459.58-015450.7 y boss_core
023503.09-044906.5 y boss_core
023503.40-021054.8 y boss_core
023505.52-030808.3 n boss_core
023505.94-033825.5 n boss_core
023511.66-040202.4 n boss_core
023519.45-034714.5 y boss_core
023520.75-035901.6 n non_uniform
023533.81-034639.5 y boss_core
023534.91-035149.7 y boss_core
023537.52-015334.5 y boss_core
023539.02-040256.5 y boss_core
023545.53-035301.5 y boss_core
023549.95-031339.2 n boss_core
023551.04-035837.4 n boss_core
023551.38-041339.4 y boss_core
023553.79-055327.5 y boss_core
023557.19-022855.9 y boss_core
023558.89-031148.4 y boss_core
023602.76-051526.9 y boss_core
023611.07-020012.6 y boss_core
023613.71-041113.3 y boss_core
023615.80-020110.5 y boss_core
023619.94-040121.0 y boss_core
023622.56-022221.9 y boss_core
023641.39-040811.7 y boss_core
023647.02-035510.0 y boss_core
023651.32-040610.7 n boss_core
023651.96-050915.3 y boss_core
023701.04-024910.2 y boss_core
023702.23-042509.7 y boss_core
023705.37-054412.2 n boss_core
023720.62-040801.1 y boss_core
023721.70-025040.4 n non_uniform
023730.10-035901.7 n boss_core
023741.72-051150.3 y boss_core
023757.65-030507.1 y boss_core
023805.18-034120.4 y boss_core
023805.80-024212.1 y boss_core
023812.75-024223.8 y boss_core
023820.69-020440.0 y boss_core
023827.35-065017.9 y boss_core
023829.60-024010.1 n boss_core
023852.66-043013.7 y boss_core
023856.11-054455.4 n boss_core
023857.24-021727.6 y boss_core
023917.92-050743.6 n boss_core
023950.75-030301.0 y boss_core
024013.76-041648.1 n boss_core
024014.02-032150.3 y boss_core
024018.57-060949.8 n boss_core
024038.23-042852.0 n boss_core
024044.53-041303.5 y boss_core
083012.68+011919.7 y boss_core
083049.15+003801.1 y boss_core
083126.19+001343.9 y boss_core
083132.31+020134.3 y boss_core
083326.19+010530.1 y boss_core
083433.21+013342.8 y boss_core
083637.60+025038.8 y boss_core
083657.72-001227.4 y boss_core
083750.47+015830.6 n boss_core
083804.75+024728.0 n boss_core
083825.64+030136.2 n non_uniform
083856.31+025936.3 y boss_core
083915.35+025325.1 n non_uniform
083920.15+025902.0 y boss_core
083931.73+022357.4 y boss_core
083932.01+024352.5 n boss_core
084050.39+021910.1 y boss_core
084114.58+022927.7 n non_uniform
084118.14+015406.6 y boss_core
084139.62+023021.6 y boss_core
084140.44+025032.8 n boss_core
084141.07+025909.3 n non_uniform
084150.43+010626.3 y boss_core
084154.48+025618.8 y boss_core
084212.11+010358.3 y boss_core
084220.70+011310.3 n boss_core
084230.96+010829.2 y boss_core
084238.86+015252.2 n boss_core
084251.07+025939.5 y boss_core
084313.61+011634.5 y boss_core
084331.27+014542.1 y boss_core
084400.18+004732.2 y boss_core
084428.51+014818.7 n non_uniform
084514.05+024919.0 n non_uniform
084537.83+021806.4 n boss_core
084543.76+025132.5 y boss_core
084548.65+014139.2 y boss_core
084551.86+024223.1 y boss_core
084610.45+024823.5 n boss_core
084617.25+015536.1 y boss_core
084617.78+023228.9 n non_uniform
084623.47+001955.8 n non_uniform
084625.25+012846.3 y boss_core
084638.13+025335.7 y boss_core
084655.77+015910.3 n boss_core
084701.78+005714.1 n non_uniform
084702.80+013001.4 n non_uniform
084709.90-001855.7 y dr7_core
084716.11+015617.9 n non_uniform
084722.73-003537.4 n dr7_core
084726.99+011034.5 n boss_core
084728.32-003732.8 n boss_core
084754.25+025615.9 n non_uniform
084759.98-003333.4 n dr7_core
084818.85+025938.8 y dr7_core
084819.58+015311.9 n boss_core
084820.15+014620.3 y dr7_core
084829.60+010356.6 n boss_core
084850.64+005231.0 n boss_core
084856.08+011540.0 n dr7_core
084903.09-011503.1 n boss_core
084929.69+005218.4 y boss_core
084940.34+014638.4 n non_uniform
084943.91-012114.4 y boss_core
084948.89+000456.5 n boss_core
084956.36+005903.7 y boss_core
085019.73-003916.9 y boss_core
085020.86+024426.8 y boss_core
085021.94-001444.9 n boss_core
085027.51+004930.5 y boss_core
085038.51+014331.9 n non_uniform
085047.60+012552.6 y boss_core
085053.42+023048.9 y boss_core
085056.14-002936.9 y boss_core
085056.63+005603.6 n boss_core
085056.94+014711.0 y dr7_core
085103.39+005355.1 n boss_core
085151.53+024903.5 y boss_core
085155.96-004719.2 y boss_core
085156.74+005727.2 y boss_core
085206.88-002613.5 y boss_core
085224.40+020139.9 n non_uniform
085225.29-003944.1 n boss_core
085229.48+024713.8 y dr7_core
085239.90-002205.7 y boss_core
085240.29+005351.4 n non_uniform
085251.47+024439.5 n dr7_core
085255.27+023916.5 y dr7_core
085311.42+005607.1 y boss_core
085311.66-002623.9 y boss_core
085324.12-011354.7 y boss_core
085345.03-000959.6 y dr7_core
085411.33-001905.0 y boss_core
085425.77+021406.4 n non_uniform
085427.76+022401.8 y dr7_core
085430.18-005702.3 n boss_core
085430.23-000418.1 y boss_core
085431.28-003650.6 y dr7_core
085431.50+025638.5 y boss_core
085433.00-010731.5 y boss_core
085436.57+012101.2 y boss_core
085449.00+022156.6 n boss_core
085451.72+001153.3 n non_uniform
085451.72+012609.9 y dr7_core
085459.98-001100.2 n dr7_core
085505.11+022809.5 y dr7_core
085512.67-000731.8 n non_uniform
085516.28+013236.3 n non_uniform
085522.08+015200.7 y boss_core
085531.21+015346.8 n non_uniform
085536.11+021308.4 n non_uniform
085548.87+025339.8 y boss_core
085612.60+031858.4 n boss_core
085613.05-010038.0 y boss_core
085615.91+014636.2 y boss_core
085627.04+014235.7 y boss_core
085631.11+005312.3 y boss_core
085635.78+014247.0 n non_uniform
085637.86+011901.9 n non_uniform
085640.08+000621.8 n boss_core
085717.45+014547.1 n non_uniform
085717.97+014953.3 y boss_core
085728.05+005016.7 n non_uniform
085733.63+022117.5 y boss_core
085739.33+013254.6 y boss_core
085755.37-000818.5 n non_uniform
