#bestObjID ra dec z petroR90_i
1237648722289623245 146.01513 0.8235057 0.12320917 5.3760133
1237650796756664521 145.73267 0.53403606 0.16425665 3.5397215
1237650796219859103 145.76582 0.13534552 0.12327897 3.9162178
1237651752384856377 146.13155 0.84119279 0.12241853 6.853365
1237648721752752242 146.06202 0.30231485 0.12221519 3.8825169
1237650796756861140 146.1566 0.56959059 0.14422502 5.6461577
1237680099166715990 30.954731 1.253242 0.07516897 9.839211
1237657071160524985 30.679206 0.22566794 0.07769305 6.9777894
1237663785284862171 31.435571 0.87784623 0.04172447 8.083692
1237657069546963116 23.945552 -0.982915 0.15946232 3.5589788
1237648721753931939 148.7298 0.37865087 0.046195984 12.1312
1237648722290934014 149.13884 0.64360922 0.10902131 4.192645
1237651799622746278 148.35708 -1.0615241 0.08362079 8.213483
1237648720143122623 148.39456 -0.88771162 0.13728005 6.8601933
1237648722291392551 150.10153 0.70459403 0.033372667 13.613579
1237654605329334450 168.33017 4.7403287 0.026459806 6.944607
1237663785281192048 22.981932 1.036589 0.12598844 5.274351
1237651799622615229 148.03294 -1.1427995 0.08339076 4.0933156
1237648720680124693 148.65765 -0.59984333 0.16424048 7.296319
1237654605866205623 168.33843 5.0923719 0.02695611 10.2172985
1237666339189620865 18.092633 -0.18488683 0.11911096 3.6430705
1237650796220711125 147.78785 0.0098501986 0.1327755 4.763904
1237658205598777456 228.45582 41.822814 0.15398252 6.933084
1237653664184664187 148.94561 1.6018789 0.10266241 7.8904862
1237654599952957574 150.52933 3.0576861 0.023351775 19.694942
1237651754533519467 148.65573 2.5781734 0.07074789 5.088286
1237654599952957498 150.46955 3.0113197 0.044090416 9.642477
1237653665258275050 148.73486 2.4009248 0.09896346 4.2615886
1237657069546831983 23.511896 -0.968506 0.0790575 3.545915
1237657070620442805 23.215694 -0.1578 0.17777339 4.023708
1237651754533781658 149.2786 2.6511297 0.12703726 4.7274103
1237653665258406080 149.04018 2.2467537 0.032053467 4.042679
1237666407920369980 33.851148 -0.14042449 0.15177022 6.5198565
1237654599953088617 150.69289 2.8842421 0.17792875 3.841843
1237663783675166871 33.524645 -0.27695616 0.03733412 3.852486
1237657070088093800 33.567848 -0.59430127 0.099815674 5.2969084
1237653664722452670 151.10846 2.0178808 0.12236318 9.118109
1237653664722387115 150.96243 2.0410154 0.12469647 4.5715446
1237653665259126977 150.61338 2.416515 0.19503163 5.043781
1237651752923824359 150.78194 1.3643835 0.22970918 6.693225
1237651753997369495 150.42494 2.0661473 0.1247853 7.122266
1237651736285020281 159.87575 2.1832264 0.057536293 1.9665961
1237651752923431107 149.96443 1.3427101 0.10081155 4.6253867
1237651752927625382 159.50329 1.4643293 0.06644035 6.3456798
1237651752927363244 159.00155 1.6148849 0.106789194 8.762911
1237648722828132577 149.83289 1.0604444 0.08271644 5.2486887
1237653665793376339 144.62779 2.573265 0.023438293 14.500282
1237653664185319707 150.51137 1.4992902 0.097971655 4.7089896
1237651800696881166 149.19127 -0.25953399 0.07061857 2.9528754
1237651735744020639 150.37261 1.6093641 0.10417278 3.6480134
1237654600487403572 144.89387 3.1584142 0.04618573 14.275617
1237648720143188098 148.4325 -1.0264118 0.110280894 8.6603775
1237651753997107321 149.74388 2.2497335 0.13286175 6.7648735
1237653665260372074 153.44323 2.4054012 0.102494605 4.1243997
1237654600486879359 143.62786 3.0959344 0.22502472 5.1871357
1237654600486944977 143.86699 3.0283075 0.14533499 5.2245045
1237654601023946862 144.06488 3.5063737 0.07376752 6.885243
1237654601023750289 143.64376 3.3465222 0.119288296 6.6818066
1237654601023619313 143.42732 3.4273019 0.10138766 3.894532
1237663783137247403 31.020886 -0.79268172 0.1140969 3.7689788
1237663785280667851 21.834692 1.0374163 0.17448437 5.7808414
1237663784206860426 21.610804 0.17518705 0.120610625 5.9630833
1237648722828066973 149.65933 1.0579936 0.046398982 19.89727
1237657069550043310 30.939941 -1.019313 0.16231498 5.4926686
1237663204922425513 18.930019 0.73192811 0.04559327 4.077273
1237653664184991801 149.71704 1.6202842 0.09961088 7.671917
1237666339726885033 18.936871 0.23333726 0.044482883 7.6413198
1237651752921596015 145.79341 1.1856538 0.06256682 5.7176476
1237650796219728046 145.47131 0.15515025 0.1225 5.7485704
1237663204923474021 21.232401 0.67126002 0.16396518 7.213474
1237663783136919763 30.380548 -0.714453 0.09476883 5.726798
1237666339727015947 19.246121 0.32592668 0.07815762 5.6164627
1237666340800888945 19.637226 1.1585481 0.0442368 13.562684
1237666339727671413 20.775616 0.34784858 0.046696223 7.889903
1237663783130693936 16.149209 -0.6463682 0.13623007 6.300713
