#bestObjID ra dec
1237648674511061237 195.7146 0.33281073
1237648702971576379 195.01217 -1.100494
1237648704045252814 194.95461 -0.26929864
1237648705652195428 186.54221000000007 0.90102642
1237648720134668628 128.99691 -0.92582729
1237648720135258518 130.38205 -0.87168601
1237648720139452598 139.96359 -0.86214552
1237648720163569760 195.09676 -0.90827238
1237648720163569842 195.07528 -0.9069147
1237648720163701045 195.36986 -0.96786013
1237648720165601552 199.62982 -0.95124798
1237648720673767493 134.10108000000002 -0.61206937
1237648721208410709 129.05487 -0.069260446
1237648721212998048 139.53082 -0.1393617
1237648721213718660 141.16843 -0.026305502
1237648721213784383 141.24958000000004 -0.013097406
1237648721749344338 138.28139999999996 0.28077702
1237648722282480142 129.74619 0.74105738
1237648722306597016 184.80754000000002 0.68090168
1237648722820596063 132.65064 1.1242541
1237650371547824336 162.11022000000003 -1.641785
1237650761862086708 199.26423 -2.2613246
1237650794602496332 130.40737000000001 -1.1460081
1237650795138646253 128.78966000000003 -0.68556807
1237650795140809100 133.69716 -0.66632158
1237650795143233717 139.25995 -0.73820976
1237650795143627412 140.07203000000004 -0.78285759
1237650795675910563 129.64202999999998 -0.41114372
1237650795676500321 130.99746 -0.24938364
1237650795677614385 133.54046 -0.28894644
1237650795678335288 135.20056 -0.39831883
1237650795680235811 139.58924000000002 -0.22624955
1237650796212781445 129.66096 0.097962269
1237650796217565387 140.53864 0.1712865
1237650796217565405 140.55714 0.096672133
1237650796749390272 129.05939 0.58914057
1237650797287309701 131.45740999999998 0.91323296
1237650797288423578 133.97612000000004 0.85304532
1237650797290848497 139.60748 0.84956483
1237650797291372811 140.74806 0.86346556
1237650804799504508 140.35523 -1.7680523
1237650804799701003 140.73225000000002 -1.6824575
1237650804799701183 140.71557 -1.7766945
1237650805882355856 161.18674999999996 -1.338391
1237651251516473846 248.57894 44.15518
1237651737911034047 195.11221999999998 3.5244856
1237651752399470707 179.45558000000005 1.2603739
1237651753456501024 141.29078000000004 1.5924968
1237651801773637962 156.14877 0.54465099
1237651821636944118 218.86897999999997 3.493597
1237653010833997867 18.614510999999993 -1.2761025
1237653622300016734 128.54561999999999 1.4610312
1237653664181190922 141.06898 1.2360166
1237653664712950263 129.32423 1.3200515
1237653664713343116 130.27310999999997 1.3192584
1237653664713802238 131.35363 1.3338885
1237653664717865328 140.52882 1.6617259
1237653665250541978 131.04607999999996 1.7727186
1237653665253622079 138.09118 1.9657596
1237653665256702152 145.01485000000002 2.1833395
1237653665795997948 150.65798 2.783558
1237654600484323596 137.80173000000002 2.6830927
1237654601017852219 130.29534 2.4978213
1237654604239864249 132.43651999999997 2.0854421
1237654604242616487 138.74823000000004 2.5863899
1237654604242878689 139.23003 2.512056
1237654604249170039 153.60681 3.2429328
1237654604254806182 166.57371999999998 3.824764
1237654604775227950 128.98545000000001 2.3075952
1237654604792660351 168.86391000000003 4.2712328
1237654605312229573 129.25907 2.7600212
1237654605312229887 129.15213 2.6507489
1237654605313409434 131.95077000000003 2.9807918
1237654605859979597 154.08078999999998 4.5948227
1237654871599284283 129.99404000000004 -1.4523083
1237654879117705302 195.03342999999995 3.9338796
1237654879664996881 218.78990999999996 3.660666
1237655123944407178 204.91506000000004 3.5194072
1237655124471840939 183.25251000000003 4.179245
1237655124477083787 195.23142000000007 4.0977319
1237655126078652640 174.46548000000007 5.3913821
1237655177079292461 129.85181999999998 -1.3514844
1237655177081651636 135.26536999999996 -1.5501004
1237655463785463996 243.92532000000006 43.702189
1237655464859140161 244.7052 44.421457
1237655504030466064 249.73557000000005 43.586813
1237656567048307025 335.38506000000007 -1.157974
1237656567583932582 332.44415000000004 -0.63966065
