CATAID,RA,DEC
3632430,138.18421,-0.88439
204679,139.10337,-0.40891
551209,139.311,-0.46783
383184,140.22167,1.99145
210955,140.55717,0.09665
300597,130.16408,1.10302
300336,129.16546,1.11846
707393,139.58925,-0.22626
623003,136.17912,0.79317
550095,134.14229,-0.55558
549444,131.45096,-0.62196
347565,138.28117,2.16011
601439,139.83892,0.25614
749084,130.99021,0.68646
3631239,137.39912,-0.86825
573622,129.32683,-0.03941
549629,131.98033,-0.56819
210049,136.36292,0.06261
301069,131.96671,1.21769
727091,137.59554,1.90901
709418,134.50408,0.43125
300673,130.33129,1.23441
743846,135.87546,-0.4605
514202,140.34071,2.70084
204957,140.13654,-0.29934
3611161,135.37762,-1.29981
3599162,129.06463,-1.17582
3576875,129.99404,-1.45231
3554345,130.52775,-1.95713
3864865,136.00221,-1.96563
3612983,136.55012,-1.28206
3615274,137.95154,-1.39625
3613796,137.00404,-1.2816
3868688,138.34613,-1.93789
3862971,134.93629,-1.94555
3635301,139.98042,-1.1078
3856528,131.38571,-1.87682
636432,140.71554,-1.7767
3618308,139.88383,-1.41302
3874361,129.55746,-1.3306
717703,138.03158,0.91348
202847,131.48087,-0.21544
3864037,135.52046,-1.99408
3587364,135.53613,-1.67311
325160,138.89296,1.84348
730599,129.79729,2.91853
599277,130.76796,0.25377
323265,131.01879,1.64769
574583,136.38721,-0.20416
377717,138.58396,1.57599
346562,134.18688,2.17708
852508,132.96446,1.01205
53734,174.64725,-0.37182
271420,174.14158,1.3039
396661,174.44862,1.52754
271539,174.691,1.32274
396765,174.88471,1.6045
583889,177.09037,-0.16345
185121,179.16888,-1.44988
177930,178.38754,-1.86211
220034,180.18421,1.6025
560343,180.01996,-0.49969
54933,179.97317,-0.25863
185336,179.94938,-1.53248
137854,179.84779,-1.72289
31411,179.577,-1.2272
144637,180.89075,-1.40116
536294,181.51758,-0.92886
231243,182.95737,1.94202
85442,182.522,0.56217
8609,183.05413,0.77174
178898,182.33892,-1.99531
71335,184.36454,0.13117
537152,184.29408,-0.97281
611535,185.14638,0.26889
560092,179.11904,-0.42089
99908,184.88771,0.97988
40100,179.59213,-0.81119
179700,185.85358,-1.90104
231963,185.91508,1.999
690061,185.29796,-1.06577
402480,175.38171,1.85968
221081,184.46054,1.53318
221193,185.11133,1.62543
84407,177.62667,0.59571
186366,184.10946,-1.55381
691203,181.04004,-0.82889
696560,182.38517,0.9841
178922,182.47642,-1.89024
145612,185.46879,-1.28951
537503,185.47821,-0.94698
85678,183.50137,0.54847
290283,185.42192,1.74046
695051,178.79846,0.56224
536906,183.26004,-0.88598
559651,177.75429,-0.61999
23436,181.48942,1.07466
185697,181.46029,-1.59126
185435,180.19771,-1.61464
185262,179.6345,-1.57246
41215,184.58504,-0.63228
713666,181.95812,1.4604
7105,175.71237,0.7821
695142,179.40971,0.48619
810032,183.69133,1.61307
24203,184.83962,1.05475
171078,176.82013,-2.28633
131353,180.86983,-2.24556
172219,181.8025,-2.49391
129834,174.65367,-2.08234
131025,179.59575,-2.10925
172252,181.99983,-2.48363
131973,183.43062,-2.12327
129763,174.33321,-2.17728
105841,213.56996,0.84746
617795,213.26083,0.26265
618352,215.31142,0.29842
320217,217.35417,1.71979
48509,217.29712,-0.67561
228848,219.13775,1.08771
545313,218.98167,-0.89208
486966,222.3375,-1.77706
493859,222.74554,-1.24799
321470,223.33596,1.5418
79876,223.46788,0.04774
512230,218.14742,-1.13988
485990,218.06996,-1.70851
492607,217.25679,-1.43452
486768,221.40392,-1.75622
617575,212.17167,0.41238
239324,217.34992,1.67073
251251,217.78925,1.98635
296837,213.54067,1.43577
47852,214.52646,-0.73542
618519,216.04075,0.4045
511992,217.03258,-1.21605
761658,212.61754,0.00088
320517,218.49371,1.70714
106601,216.55046,0.92159
743037,213.65392,-0.91643
746862,212.57583,-0.12777
65218,222.21517,-0.33999
593540,216.89442,-0.20146
508282,216.57946,-1.52131
240164,220.92204,1.42619
618244,214.76554,0.28325
64442,219.12358,-0.2606
594178,219.23721,-0.11853
320196,217.24762,1.70267
569068,217.423,-0.61152
367586,222.99117,2.94103
262152,217.90492,2.33302
363679,220.81621,2.53331
722067,217.33708,2.31176
363018,217.71217,2.65836
362242,214.12133,2.63082
265592,214.25933,2.89891
342868,217.73362,2.18843
238620,214.86337,1.59569
724105,220.55775,2.92006
64287,218.81925,-0.34096
618023,213.82262,0.23114
341858,213.4215,2.26813
740319,218.1915,-1.14184
250393,214.66121,2.0213
261446,214.41929,2.46873
77914,215.29342,0.02522
593591,216.97092,-0.20005
79333,221.05529,0.18848
694484,213.033,0.05701
594015,218.88358,-0.17616
878757,214.61674,-1.41319
