0.004	4.10E-17
0.011	4.62E-14
0.018	1.44E-12
0.026	1.84E-11
0.033	9.09E-11
0.041	3.87E-10
0.048	1.17E-09
0.056	3.11E-09
0.064	8.26E-09
0.072	1.76E-08
0.08	3.70E-08
0.088	6.45E-08
0.096	1.22E-07
0.104	2.02E-07
0.112	3.21E-07
0.121	5.21E-07
0.129	7.78E-07
0.138	1.23E-06
0.147	1.82E-06
0.156	2.55E-06
0.165	3.63E-06
0.174	5.28E-06
0.183	6.26E-06
0.192	8.86E-06
0.202	1.17E-05
0.211	1.48E-05
0.221	1.99E-05
0.231	2.51E-05
0.241	3.26E-05
0.251	4.16E-05
0.261	5.11E-05
0.271	6.53E-05
0.282	7.62E-05
0.293	9.38E-05
0.303	0.000117083
0.314	0.000132311
0.326	0.000167799
0.337	0.000192641
0.348	0.000227367
0.36	0.000268393
0.372	0.000310543
0.384	0.00033961
0.396	0.000419181
0.408	0.000442525
0.421	0.0005272
0.434	0.000596768
0.447	0.000683719
0.46	0.000785373
0.474	0.000888243
0.487	0.000965159
0.501	0.001111107
0.516	0.001187658
0.53	0.001315224
0.545	0.0015059
0.56	0.001572133
0.575	0.001796269
0.591	0.002012079
0.606	0.002092602
0.623	0.002452937
0.639	0.002676832
0.656	0.003023786
0.673	0.003126264
0.691	0.003560921
0.709	0.003990557
0.727	0.004438934
0.746	0.004772011
0.765	0.005329943
0.784	0.006002575
0.805	0.006409514
0.825	0.007255953
0.846	0.008069623
0.868	0.008288126
0.89	0.009297783
0.912	0.010364339
0.935	0.011749251
0.959	0.012506366
0.984	0.013817092
1.009	0.015151805
1.035	0.01716821
1.061	0.018099441
1.088	0.019960954
1.116	0.022539395
1.145	0.024595492
1.175	0.027552571
1.206	0.030514193
1.238	0.034101635
1.271	0.037492376
1.305	0.041376366
1.34	0.045795576
1.376	0.05154918
1.414	0.057256393
1.453	0.065020657
1.493	0.07323144
1.535	0.081104315
1.579	0.092614388
1.625	0.10100907
1.672	0.102328849
1.722	0.108460353
1.773	0.111056659
1.827	0.11830242
1.884	0.122202553
1.944	0.126604514
2.006	0.128780125
2.072	0.135907561
2.141	0.134691023
2.214	0.142822105
2.291	0.144679647
2.373	0.147540521
2.46	0.152368055
2.553	0.153093101
2.652	0.155285565
2.758	0.160927031
2.872	0.159592733
2.994	0.16466307
3.127	0.166793903
3.27	0.171740036
3.427	0.168401656
3.599	0.169620201
3.788	0.170511633
3.997	0.172085324
4.231	0.163210158
4.494	0.162540291
4.792	0.154007773
5.134	0.137631832
5.531	0.121827594
5.999	0.101532583
6.56	0.080088974
7.248	0.061845602
8.118	0.041603576
9.259	0.026784636
10.84	0.014265797
13.214	0.005743676
17.296	0.000993954
